signal,n_benign,n_malicious,benign_mean,benign_std,benign_min,benign_max,malicious_mean,malicious_std,malicious_min,malicious_max,separation_gap,separated,auc,mannwhitney_p,alpha,seed
bn1,90,10,7.9194668909858885,0.015047564270027748,7.887015332884701,7.947559399775434,7.9403518821370245,0.016150989389067776,7.9236455261163075,7.977508407573101,-0.023913873659126672,False,0.8288888888888889,0.0006857690910903663,0.05,0
conv1,90,10,0.011141986094846039,0.006522827141828239,0.003898213616308249,0.04777320703854809,0.012979212321076784,0.007104376921225208,0.006892563404224676,0.028614147680919556,-0.024715934064611308,False,0.5866666666666667,0.37322337414135076,0.05,0
layer1,90,10,8.350536240252655,0.10498952136448847,8.082859618277887,8.532831735195515,8.461700778318246,0.09986716727684986,8.249729385923196,8.596489908709643,-0.28310234927231903,False,0.8033333333333333,0.0017424586192034265,0.05,0
layer2,90,10,17.38260542755559,0.14300958648737025,17.009872042518392,17.71028577122025,17.452631203872425,0.1385652060735907,17.242157327389616,17.720435278595122,-0.4681284438306328,False,0.6266666666666667,0.19220599140447148,0.05,0
layer3,90,10,23.355559278146455,0.09666048322482934,23.08264799772806,23.581785387031353,23.417812329591243,0.06691699531875128,23.309138790834492,23.542939175308764,-0.2726465961968607,False,0.7288888888888889,0.018219180070825725,0.05,0
layer4,90,10,36.71623800777363,0.5892309483143118,34.34486558615964,37.2827342534461,36.45012976026403,0.4876834249795681,35.652219089118496,36.98008351251573,-1.6305151643276048,False,0.2677777777777778,0.016593078348926333,0.05,0
linear,90,10,0.017726539202549914,0.009620360079351669,0.004205467145731414,0.05785573184156238,0.016266005740658465,0.0070101281329208445,0.009356865448836788,0.027808584698551478,-0.023603117552820064,False,0.48444444444444446,0.8767338520233376,0.05,0
bn1,90,10,7.908008638693044,0.01447943409466751,7.867580679228333,7.947577593425524,7.916670283464344,0.013680077734703098,7.8965211301783675,7.933199617746761,-0.05105646324715618,False,0.6677777777777778,0.08377333879027746,0.1,0
conv1,90,10,0.009807983750793217,0.005939421165220078,0.003723488463478432,0.030741090518666244,0.021587997753675668,0.04154112149061627,0.005117959126323817,0.1394574720308889,-0.025623131392342426,False,0.5811111111111111,0.40484290483304075,0.1,0
layer1,90,10,8.880736552001498,0.16637984916791718,8.551599141263605,9.175243403302186,8.892219989959237,0.2212771329553218,8.5186793198911,9.191969957293939,-0.6403708160303339,False,0.53,0.7607644789026983,0.1,0
layer2,90,10,16.920788478884123,0.1934043032760758,16.485484199607388,17.290905132051115,16.950300458348323,0.20843349999671726,16.573227275321628,17.15548245339978,-0.669998253792393,False,0.5588888888888889,0.5463695021653148,0.1,0
layer3,90,10,23.684198201983452,0.08468161581272002,23.508793325338484,23.912702506222992,23.644407196775337,0.06262841434935239,23.542529615910674,23.719833065617596,-0.2110397402791122,False,0.37555555555555553,0.20015800763394986,0.1,0
layer4,90,10,36.73152381788944,0.14838794169522007,36.24936807329071,37.17180448377044,36.27991427955072,0.13404513840967403,36.10476408517194,36.49324189336646,-0.24387382007574843,False,0.01,4.1659801055830556e-07,0.1,0
linear,90,10,0.015855426932899964,0.008578940232782252,0.005201121847058365,0.054671037385147905,0.01524558044166224,0.011175693875494148,0.006353957506843745,0.04524695863948229,-0.040045836792423926,False,0.43555555555555553,0.5088318323010799,0.1,0
bn1,90,10,7.868680876066306,0.010447257357079388,7.841211995965111,7.8953618722047985,7.8918653891355675,0.011973506612341481,7.876991159322196,7.9178457725772216,-0.018370712882602724,False,0.9522222222222222,3.00375391132827e-06,0.5,0
conv1,90,10,0.008839193149466644,0.004209308106891597,0.002967657185679783,0.03093792482918879,0.010495532601396839,0.005398280072377292,0.005207151719598408,0.023799845797397714,-0.02083218861171793,False,0.5944444444444444,0.33160822171965254,0.5,0
