alpha,seed,范围,n,pearson_r,spearman_rho,E_mean,E_std
0.05,0,全体,100,-0.07914538048510418,-0.1499003649097913,0.8696300000883639,0.16765257627097183
0.05,0,仅良性,90,-0.08751094966257389,-0.19547038251013124,0.8657777778597342,0.1743763041214231
0.05,0,仅恶意,10,0.539570174684982,0.5636363636363636,0.9043000001460314,0.08369527939366193
0.1,0,全体,100,-0.11776815107416698,-0.39179829067054667,0.8475000009313226,0.10683391369486499
0.1,0,仅良性,90,-0.4571571284074698,-0.45905616377377206,0.8477333344519138,0.1044609289396504
0.1,0,仅恶意,10,0.12094855949210039,-0.2727272727272727,0.8453999992460013,0.13279491342040198
0.5,0,全体,100,0.09297178176537796,0.02050051025989333,0.8660200092196465,0.019140088079231246
0.5,0,仅良性,90,0.050687515768877346,-0.005985189401457047,0.8664777879913648,0.019070669309471405
0.5,0,仅恶意,10,0.5592639576875389,0.44985010232324774,0.8619000002741813,0.02030572127598477
1.0,0,全体,100,0.08478510784145622,0.031779689563420636,0.8798399992287159,0.010663560783960838
1.0,0,仅良性,90,0.0890231551960263,0.02764218782022264,0.8800666658414735,0.010013250411374562
1.0,0,仅恶意,10,0.13979319141372346,0.13373921960961418,0.8777999997138977,0.01594295384050747
