run_id,seed,bad_client_num,poison_rate,schedule,level,crossed,final_asr,round_at_cross,mta_at_cross,loss_at_cross
fedavg_attack_a0.5_s0_e1_bad1_rho0p1_s0,0,1,0.1,continuous,0.5,False,0.196875,,,
fedavg_attack_a0.5_s0_e1_bad1_rho0p25_s0,0,1,0.25,continuous,0.5,False,0.2169642857142857,,,
fedavg_attack_a0.5_s0_e1_bad1_rho0p5_s0,0,1,0.5,continuous,0.5,False,0.2535714285714285,,,
fedavg_attack_a0.5_s1_e1_bad1_rho0p5_s1,1,1,0.5,continuous,0.5,False,,,,
fedavg_attack_a0.5_s0_e1_bad1_rho1p0_s0,0,1,1.0,continuous,0.5,False,0.0928571428571428,,,
fedavg_attack_a0.5_s0_e1_bad2_rho0p1_s0,0,2,0.1,continuous,0.5,False,0.3245535714285714,,,
fedavg_attack_a0.5_s0_e1_bad2_rho0p25_s0,0,2,0.25,continuous,0.5,False,0.3178571428571429,,,
fedavg_attack_a0.5_s0_e1_bad2_rho0p5_s0,0,2,0.5,continuous,0.5,False,0.1816964285714286,,,
fedavg_attack_a0.5_s1_e1_bad2_rho0p5_s1,1,2,0.5,continuous,0.5,False,,,,
fedavg_attack_a0.5_s0_e1_bad2_rho1p0_s0,0,2,1.0,continuous,0.5,False,0.1125,,,
fedavg_attack_a0.5_s0_e1_bad4_rho0p1_s0,0,4,0.1,continuous,0.5,True,0.4584821428571429,140.0,0.55665,1.495244208526611
fedavg_attack_a0.5_s0_e1b_schedafter_mta_s0,0,4,0.1,after_mta,0.5,False,0.4267857142857142,,,
fedavg_attack_a0.5_s0_e1b_schedburst_s0,0,4,0.1,burst,0.5,False,0.1357142857142857,,,
fedavg_attack_a0.5_s0_e1b_schedcontinuous_s0,0,4,0.1,continuous,0.5,True,0.4584821428571429,140.0,0.55665,1.495244208526611
fedavg_attack_a0.5_s0_e1b_schedearly_s0,0,4,0.1,early,0.5,False,0.1178571428571428,,,
fedavg_attack_a0.5_s0_e1b_schedintermittent_s0,0,4,0.1,intermittent,0.5,False,0.2008928571428571,,,
fedavg_attack_a0.5_s0_e1b_schedlate_s0,0,4,0.1,late,0.5,True,0.6205357142857142,175.0,0.56445,1.6023194931030271
fedavg_attack_a0.5_s1_e1_bad4_rho0p1_s1,1,4,0.1,continuous,0.5,False,,,,
fedavg_attack_a0.5_s0_e1_bad4_rho0p25_s0,0,4,0.25,continuous,0.5,True,0.5986607142857143,140.0,0.5723999999999999,1.4450506958007814
fedavg_attack_a0.5_s1_e1_bad4_rho0p25_s1,1,4,0.25,continuous,0.5,False,,,,
fedavg_attack_a0.5_s0_e1_bad4_rho0p5_s0,0,4,0.5,continuous,0.5,False,0.2558035714285714,,,
fedavg_attack_a0.5_s1_e1_bad4_rho0p5_s1,1,4,0.5,continuous,0.5,False,,,,
fedavg_attack_a0.5_s1_e1b_schedafter_mta_s1,1,4,0.5,after_mta,0.5,False,,,,
fedavg_attack_a0.5_s1_e1b_schedburst_s1,1,4,0.5,burst,0.5,False,,,,
fedavg_attack_a0.5_s1_e1b_schedcontinuous_s1,1,4,0.5,continuous,0.5,False,,,,
fedavg_attack_a0.5_s1_e1b_schedearly_s1,1,4,0.5,early,0.5,False,,,,
fedavg_attack_a0.5_s1_e1b_schedintermittent_s1,1,4,0.5,intermittent,0.5,False,,,,
fedavg_attack_a0.5_s1_e1b_schedlate_s1,1,4,0.5,late,0.5,False,,,,
fedavg_attack_a0.5_s0_e1_bad4_rho1p0_s0,0,4,1.0,continuous,0.5,False,0.14375,,,
fedavg_attack_a0.5_s1_e1_bad4_rho1p0_s1,1,4,1.0,continuous,0.5,False,,,,
fedavg_attack_a0.5_s0_e1_bad8_rho0p1_s0,0,8,0.1,continuous,0.5,True,0.6883928571428573,120.0,0.5151000000000001,2.250702040100098
fedavg_attack_a0.5_s0_e1_bad8_rho0p25_s0,0,8,0.25,continuous,0.5,True,0.5031249999999999,140.0,0.54595,1.5077554092407228
fedavg_attack_a0.5_s0_e1_bad8_rho0p5_s0,0,8,0.5,continuous,0.5,False,0.2022321428571428,,,
fedavg_attack_a0.5_s1_e1_bad8_rho0p5_s1,1,8,0.5,continuous,0.5,False,,,,
fedavg_attack_a0.5_s0_e1_bad8_rho1p0_s0,0,8,1.0,continuous,0.5,False,0.0758928571428571,,,
fedavg_attack_a0.5_s0_e1_bad16_rho0p1_s0,0,16,0.1,continuous,0.5,True,0.871875,65.0,0.43185,1.7670059692382811
fedavg_attack_a0.5_s0_e1_bad16_rho0p25_s0,0,16,0.25,continuous,0.5,True,0.6549107142857143,155.0,0.56525,1.4110181457519528
fedavg_attack_a0.5_s0_e1_bad16_rho0p5_s0,0,16,0.5,continuous,0.5,True,0.4107142857142857,195.0,0.546,1.6595932792663577
fedavg_attack_a0.5_s0_e1_bad16_rho1p0_s0,0,16,1.0,continuous,0.5,False,0.059375,,,
fedavg_attack_a0.5_s0_e1_bad32_rho0p1_s0,0,32,0.1,continuous,0.5,True,0.3219866071428571,145.0,0.549375,1.4958433742523194
fedavg_attack_a0.5_s0_e1_bad32_rho0p25_s0,0,32,0.25,continuous,0.5,True,0.9168526785714286,45.0,0.30625,2.203184391021729
fedavg_attack_a0.5_s0_e1_bad32_rho0p5_s0,0,32,0.5,continuous,0.5,True,0.82421875,160.0,0.3714375,2.0950847702026367
fedavg_attack_a0.5_s0_e1_bad32_rho1p0_s0,0,32,1.0,continuous,0.5,False,0.0457589285714285,,,
