run_id,seed,schedule,bad_client_num,poison_rate,mta_at_onset,round_at_onset,n_active_eval_rounds,final_asr,peak_asr
fedavg_attack_a0.5_s0_e1b_schedafter_mta_s0,0,after_mta,4,0.1,0.58255,185.0,4,0.4267857142857142,0.4267857142857142
fedavg_attack_a0.5_s1_e1b_schedafter_mta_s1,1,after_mta,4,0.5,,,0,,
fedavg_attack_a0.5_s0_e1b_schedburst_s0,0,burst,4,0.1,0.31625,40.0,4,0.1357142857142857,0.1629464285714285
fedavg_attack_a0.5_s1_e1b_schedburst_s1,1,burst,4,0.5,0.3082,40.0,4,,
fedavg_attack_a0.5_s0_e1_bad16_rho0p1_s0,0,continuous,16,0.1,0.1065,5.0,40,0.871875,0.871875
fedavg_attack_a0.5_s0_e1_bad16_rho0p25_s0,0,continuous,16,0.25,0.10045,5.0,40,0.6549107142857143,0.7808035714285715
fedavg_attack_a0.5_s0_e1_bad16_rho0p5_s0,0,continuous,16,0.5,0.1025,5.0,40,0.4107142857142857,0.5017857142857144
fedavg_attack_a0.5_s0_e1_bad16_rho1p0_s0,0,continuous,16,1.0,0.1026,5.0,40,0.059375,0.1464285714285714
fedavg_attack_a0.5_s0_e1_bad1_rho0p1_s0,0,continuous,1,0.1,0.09945,5.0,40,0.196875,0.303125
fedavg_attack_a0.5_s0_e1_bad1_rho0p25_s0,0,continuous,1,0.25,0.09945,5.0,40,0.2169642857142857,0.2580357142857143
fedavg_attack_a0.5_s0_e1_bad1_rho0p5_s0,0,continuous,1,0.5,0.09945,5.0,40,0.2535714285714285,0.3196428571428572
fedavg_attack_a0.5_s0_e1_bad1_rho1p0_s0,0,continuous,1,1.0,0.09945,5.0,40,0.0928571428571428,0.2022321428571428
fedavg_attack_a0.5_s0_e1_bad2_rho0p1_s0,0,continuous,2,0.1,0.10145,5.0,40,0.3245535714285714,0.4633928571428571
fedavg_attack_a0.5_s0_e1_bad2_rho0p25_s0,0,continuous,2,0.25,0.1064,5.0,40,0.3178571428571429,0.4464285714285714
fedavg_attack_a0.5_s0_e1_bad2_rho0p5_s0,0,continuous,2,0.5,0.1022,5.0,40,0.1816964285714286,0.2325892857142857
fedavg_attack_a0.5_s0_e1_bad2_rho1p0_s0,0,continuous,2,1.0,0.11195,5.0,40,0.1125,0.2111607142857142
fedavg_attack_a0.5_s0_e1_bad32_rho0p1_s0,0,continuous,32,0.1,0.103125,5.0,40,0.3219866071428571,0.8169642857142858
fedavg_attack_a0.5_s0_e1_bad32_rho0p25_s0,0,continuous,32,0.25,0.1016875,5.0,40,0.9168526785714286,0.9380580357142856
fedavg_attack_a0.5_s0_e1_bad32_rho0p5_s0,0,continuous,32,0.5,0.101875,5.0,40,0.82421875,0.82421875
fedavg_attack_a0.5_s0_e1_bad32_rho1p0_s0,0,continuous,32,1.0,0.1048125,5.0,40,0.0457589285714285,0.0647321428571428
fedavg_attack_a0.5_s0_e1_bad4_rho0p1_s0,0,continuous,4,0.1,0.10145,5.0,40,0.4584821428571429,0.7075892857142858
fedavg_attack_a0.5_s0_e1_bad4_rho0p25_s0,0,continuous,4,0.25,0.1064,5.0,40,0.5986607142857143,0.6227678571428572
fedavg_attack_a0.5_s0_e1_bad4_rho0p5_s0,0,continuous,4,0.5,0.1022,5.0,40,0.2558035714285714,0.3642857142857142
fedavg_attack_a0.5_s0_e1_bad4_rho1p0_s0,0,continuous,4,1.0,0.11195,5.0,40,0.14375,0.2058035714285714
fedavg_attack_a0.5_s0_e1_bad8_rho0p1_s0,0,continuous,8,0.1,0.106,5.0,40,0.6883928571428573,0.8473214285714287
fedavg_attack_a0.5_s0_e1_bad8_rho0p25_s0,0,continuous,8,0.25,0.11025,5.0,40,0.5031249999999999,0.6366071428571429
fedavg_attack_a0.5_s0_e1_bad8_rho0p5_s0,0,continuous,8,0.5,0.10745,5.0,40,0.2022321428571428,0.3794642857142857
fedavg_attack_a0.5_s0_e1_bad8_rho1p0_s0,0,continuous,8,1.0,0.1117,5.0,40,0.0758928571428571,0.196875
fedavg_attack_a0.5_s0_e1b_schedcontinuous_s0,0,continuous,4,0.1,0.10145,5.0,40,0.4584821428571429,0.7075892857142858
fedavg_attack_a0.5_s1_e1_bad1_rho0p5_s1,1,continuous,1,0.5,0.107,5.0,40,,
fedavg_attack_a0.5_s1_e1_bad2_rho0p5_s1,1,continuous,2,0.5,0.107,5.0,40,,
fedavg_attack_a0.5_s1_e1_bad4_rho0p1_s1,1,continuous,4,0.1,0.10355,5.0,40,,
fedavg_attack_a0.5_s1_e1_bad4_rho0p25_s1,1,continuous,4,0.25,0.11025,5.0,40,,
fedavg_attack_a0.5_s1_e1_bad4_rho0p5_s1,1,continuous,4,0.5,0.1026,5.0,40,,
fedavg_attack_a0.5_s1_e1_bad4_rho1p0_s1,1,continuous,4,1.0,0.109,5.0,40,,
fedavg_attack_a0.5_s1_e1_bad8_rho0p5_s1,1,continuous,8,0.5,0.10925,5.0,40,,
fedavg_attack_a0.5_s1_e1b_schedcontinuous_s1,1,continuous,4,0.5,0.1026,5.0,40,,
fedavg_attack_a0.5_s0_e1b_schedearly_s0,0,early,4,0.1,0.10145,5.0,11,0.1178571428571428,0.1825892857142857
fedavg_attack_a0.5_s1_e1b_schedearly_s1,1,early,4,0.5,0.1026,5.0,11,,
fedavg_attack_a0.5_s0_e1b_schedintermittent_s0,0,intermittent,4,0.1,0.131,10.0,20,0.2008928571428571,0.4191964285714286
fedavg_attack_a0.5_s1_e1b_schedintermittent_s1,1,intermittent,4,0.5,0.142,10.0,20,,
fedavg_attack_a0.5_s0_e1b_schedlate_s0,0,late,4,0.1,0.5688,140.0,13,0.6205357142857142,0.7035714285714285
fedavg_attack_a0.5_s1_e1b_schedlate_s1,1,late,4,0.5,0.54525,140.0,13,,
