alpha,is_malicious,group,perturb_mode,n_clients,n_seeds,n_missing_baseline,asr_mean,asr_std,baseline_mean,lift_mean,lift_std,mw_p_asr_benign_vs_malicious,mw_p_lift_benign_vs_malicious,metric,cell
1.0,False,benign,random_eps4,90,1,0,0.02255194724399647,0.00389568964316973,0.023653104392186094,-0.00110115714818962,0.0011047783669922591,6.312666287023127e-07,2.39137341281196e-07,asr_targeted,E1
1.0,True,malicious,random_eps4,10,1,0,0.039160134378499384,0.009766944910531938,0.03527435610302348,0.003885778275475901,0.002089698885553543,6.312666287023127e-07,2.39137341281196e-07,asr_targeted,E1
1.0,False,benign,random_eps8,90,1,0,0.023803658081373597,0.0037748356723930256,0.023653104392186094,0.00015055368918750784,0.0014836324833061424,3.9082687752993337e-07,2.4042930075986647e-07,asr_targeted,E1
1.0,True,malicious,random_eps8,10,1,0,0.04282194848824184,0.009540511278664706,0.03527435610302348,0.00754759238521836,0.002156087305927108,3.9082687752993337e-07,2.4042930075986647e-07,asr_targeted,E1
0.5,False,benign,random_eps4,90,1,0,0.031244245365185965,0.008597435337172265,0.026272240885902645,0.004972004479283316,0.0017042388449445248,5.814449190446215e-06,2.4019033571759263e-07,asr_targeted,E1
0.5,True,malicious,random_eps4,10,1,0,0.053695408734602434,0.014802193108328672,0.033090705487122014,0.02060470324748042,0.00418499482438938,5.814449190446215e-06,2.4019033571759263e-07,asr_targeted,E1
0.5,False,benign,random_eps8,90,1,0,0.03929451287793948,0.010119239635503607,0.026272240885902645,0.013022271992036826,0.003006540527858547,3.2675182838161137e-07,2.407482379059185e-07,asr_targeted,E1
0.5,True,malicious,random_eps8,10,1,0,0.08031354983202685,0.017168541027577946,0.033090705487122014,0.04722284434490484,0.0066568510809970356,3.2675182838161137e-07,2.407482379059185e-07,asr_targeted,E1
0.1,False,benign,random_eps4,90,1,0,0.03395794450665667,0.04602796001457831,0.03268010451661063,0.0012778399900460402,0.002115199398674816,0.006809511680367181,2.2943592313611255e-05,asr_targeted,E1
0.1,True,malicious,random_eps4,10,1,0,0.08352743561030232,0.08242996057307567,0.07788353863381857,0.005643896976483741,0.0025899916956184242,0.006809511680367181,2.2943592313611255e-05,asr_targeted,E1
0.1,False,benign,random_eps8,90,1,0,0.036070673136742525,0.047902864576833494,0.03268010451661063,0.0033905686201318947,0.003501653726788049,0.0015171365643982478,6.323404611748725e-07,asr_targeted,E1
0.1,True,malicious,random_eps8,10,1,0,0.09229563269876816,0.08345409243636198,0.07788353863381857,0.014412094064949598,0.003020081090448158,0.0015171365643982478,6.323404611748725e-07,asr_targeted,E1
0.05,False,benign,random_eps4,90,1,0,0.0663133009829538,0.12252290141060329,0.060495209655343996,0.0058180913276098005,0.0053358316435064106,0.7563858519728786,0.00635424388392378,asr_targeted,E1
0.05,True,malicious,random_eps4,10,1,0,0.04249720044792828,0.05827190207570448,0.033426651735722235,0.009070548712206047,0.005524449421425899,0.7563858519728786,0.00635424388392378,asr_targeted,E1
0.05,False,benign,random_eps8,90,1,0,0.07624486748786855,0.12424964598205167,0.060495209655343996,0.015749657832524567,0.009295919727136932,0.46562516027059675,0.0017420127758002392,asr_targeted,E1
0.05,True,malicious,random_eps8,10,1,0,0.05879059350503914,0.06139378473499424,0.033426651735722235,0.02536394176931691,0.010213007436422694,0.46562516027059675,0.0017420127758002392,asr_targeted,E1
