alpha,seed,cell,perturb_mode,n_clients,asr_targeted_mean,asr_targeted_std,asr_targeted_n,asr_targeted_unfiltered_mean,asr_targeted_unfiltered_std,asr_targeted_unfiltered_n,error_rate_mean,error_rate_std,error_rate_n,clean_acc_mean,clean_acc_std,clean_acc_n
0.5,0,E1,delta_only,100,0.9998376259798433,0.00081661963960574,100,0.99985,0.0007768753783814645,100,0.9999216125419933,0.000464176447731964,100,0.7891937290033595,0.010007283776375154,100
0.5,0,E1,full,100,0.9993840985442329,0.0019141132414169544,100,0.9988750000000001,0.0026849515165947853,100,0.9998152295632698,0.0002763118771841517,100,0.7891937290033595,0.010007283776375154,100
0.5,0,E1,none,100,0.02695408734602459,0.009033550869275797,100,0.107945,0.012328601672205945,100,0.21080627099664054,0.010007283776375145,100,0.7891937290033595,0.010007283776375154,100
0.5,0,E1,random_eps4,100,0.033489361702127615,0.011497453172816063,100,0.11463799999999998,0.014645265239639533,100,0.22874580067189246,0.011364221262971826,100,0.7891937290033595,0.010007283776375154,100
0.5,0,E1,random_eps8,100,0.04339641657334822,0.016486723677490364,100,0.12185599999999999,0.018944263383713685,100,0.2732004479283314,0.01808943081802264,100,0.7891937290033595,0.010007283776375154,100
0.5,0,E1,real_target,100,,,0,0.7838785046728971,0.042762741430529515,100,,,0,0.7891937290033595,0.010007283776375154,100
0.5,0,E1,xi_only,100,0.366030235162374,0.06888734125059642,100,0.34859,0.06744846068284174,100,0.9817469204927213,0.004915449256536945,100,0.7891937290033595,0.010007283776375154,100
0.5,0,E2,delta_only,100,0.027161254199328057,0.008392619455442974,100,0.11185,0.011239473189422962,100,0.20391937290033593,0.007852468964322375,100,0.8017077267637179,0.007307004800301846,100
0.5,0,E2,full,100,0.12618141097424407,0.02207994074682847,100,0.11449000000000002,0.020854956051720462,100,0.9572340425531916,0.0049786792832911654,100,0.8017077267637179,0.007307004800301846,100
0.5,0,E2,none,100,0.02021276595744676,0.007203178399901562,100,0.10282500000000003,0.010864727239088795,100,0.1982922732362822,0.007307004800301843,100,0.8017077267637179,0.007307004800301846,100
0.5,0,E2,random_eps4,100,0.02022396416573343,0.007274335569881373,100,0.10285299999999997,0.010889838234229052,100,0.201053751399776,0.006584523676749456,100,0.8017077267637179,0.007307004800301846,100
0.5,0,E2,random_eps8,100,0.01982082866741316,0.007181878077121805,100,0.10148199999999999,0.010965311512476816,100,0.20755207166853304,0.00627520304137092,100,0.8017077267637179,0.007307004800301846,100
0.5,0,E2,real_target,100,,,0,0.7922897196261682,0.043055737165823726,100,,,0,0.8017077267637179,0.007307004800301846,100
0.5,0,E2,xi_only,100,0.12497200447928326,0.022421852602639916,100,0.112925,0.020927408807445307,100,0.9602631578947367,0.004949766597810647,100,0.8017077267637179,0.007307004800301846,100
0.5,0,E3,delta_only,100,0.0667413213885778,0.021200704308769,100,0.152005,0.023332196400872522,100,0.3389249720044793,0.01959579474464824,100,0.8017077267637179,0.007307004800301846,100
0.5,0,E3,full,100,0.14624860022396413,0.026392030452769683,100,0.14546000000000003,0.026985750074265256,100,0.9265397536394177,0.011371625421974535,100,0.8017077267637179,0.007307004800301846,100
0.5,0,E3,none,100,0.02021276595744676,0.007203178399901562,100,0.10282500000000003,0.010864727239088795,100,0.1982922732362822,0.007307004800301843,100,0.8017077267637179,0.007307004800301846,100
0.5,0,E3,random_eps4,100,0.02022396416573343,0.007274335569881373,100,0.10285299999999997,0.010889838234229052,100,0.201053751399776,0.006584523676749456,100,0.8017077267637179,0.007307004800301846,100
0.5,0,E3,random_eps8,100,0.01982082866741316,0.007181878077121805,100,0.10148199999999999,0.010965311512476816,100,0.20755207166853304,0.00627520304137092,100,0.8017077267637179,0.007307004800301846,100
0.5,0,E3,real_target,100,,,0,0.7922897196261682,0.043055737165823726,100,,,0,0.8017077267637179,0.007307004800301846,100
0.5,0,E3,xi_only,100,0.12497200447928326,0.022421852602639916,100,0.112925,0.020927408807445307,100,0.9602631578947367,0.004949766597810647,100,0.8017077267637179,0.007307004800301846,100
0.5,0,E4,delta_only,100,0.027161254199328057,0.008392619455442974,100,0.11185,0.011239473189422962,100,0.20391937290033593,0.007852468964322375,100,0.8017077267637179,0.007307004800301846,100
0.5,0,E4,full,100,0.03119820828667409,0.008178820413919556,100,0.113275,0.011218305522131175,100,0.24457446808510636,0.007527018604410908,100,0.8017077267637179,0.007307004800301846,100
0.5,0,E4,none,100,0.02021276595744676,0.007203178399901562,100,0.10282500000000003,0.010864727239088795,100,0.1982922732362822,0.007307004800301843,100,0.8017077267637179,0.007307004800301846,100
0.5,0,E4,random_eps4,100,0.02022396416573343,0.007274335569881373,100,0.10285299999999997,0.010889838234229052,100,0.201053751399776,0.006584523676749456,100,0.8017077267637179,0.007307004800301846,100
0.5,0,E4,random_eps8,100,0.01982082866741316,0.007181878077121805,100,0.10148199999999999,0.010965311512476816,100,0.20755207166853304,0.00627520304137092,100,0.8017077267637179,0.007307004800301846,100
0.5,0,E4,real_target,100,,,0,0.7922897196261682,0.043055737165823726,100,,,0,0.8017077267637179,0.007307004800301846,100
0.5,0,E4,xi_only,100,0.02450167973124295,0.0072135547573763765,100,0.103305,0.01174387762266627,100,0.24005039193728997,0.007755837720492171,100,0.8017077267637179,0.007307004800301846,100
