defense,delta_t,n,asr_global_targeted_mean,asr_personalized_targeted_mean,acc_global_mean,acc_personalized_mean
invariant,0,33,0.7995520716685329,0.6075197665343243,0.652193830805253,0.525004241745563
invariant,1,14,0.7646376579747239,0.5832506798912175,0.65773476243801,0.5145776675731882
invariant,2,2,0.7953527435610303,0.7075307950727884,0.6931690929451287,0.5523796192609183
invariant,3,1,0.9988801791713324,0.9070548712206048,0.7648376259798433,0.6696528555431132
invariant_mask_only,0,33,0.7883877973463639,0.6353015032746274,0.6415215989684074,0.5291357019240558
invariant_mask_only,1,14,0.7481602943529034,0.6118381059030555,0.635258358662614,0.513073908174692
invariant_mask_only,2,2,0.8631019036954087,0.729535274356103,0.6934490481522956,0.5409014557670773
invariant_mask_only,3,1,1.0,0.9375139977603584,0.767077267637178,0.6464725643896977
invariant_trim_only,0,33,0.8433608198445823,0.6719417014489802,0.6717228273779225,0.5619108215412806
invariant_trim_only,1,14,0.810790273556231,0.649384098544233,0.6745320748680211,0.5495040793473044
invariant_trim_only,2,2,0.9059350503919373,0.7947928331466966,0.6856103023516238,0.6103303471444569
invariant_trim_only,3,1,0.996080627099664,0.8155095184770437,0.7799552071668533,0.7124300111982083
