round,defense,tau,alpha,alpha_dirichlet,seed,n_malicious_in_round,n_selected,tpr,fpr,precision,influence_malicious_mean,influence_benign_mean,trim_survival_malicious_mean,trim_survival_benign_mean,mask_keep_ratio,zero_sign_ratio,effective_trim_n,malicious_rank_l2_mean,malicious_rank_cos_mean,flame_n_clusters,flame_n_noise,flame_max_cluster_size,flame_fallback_triggered,clip_rate_malicious,clip_rate_benign
1,invariant,0.2,0.25,0.5,0,2,10,,,,0.20450587698374767,0.18389420055948555,0.43508061897930406,0.39122984525517396,0.47004133961084493,1.5518178525209484e-06,4,7.5,6.0,,,,,,
2,invariant,0.2,0.25,0.5,0,0,10,,,,,0.19682685919008996,,0.4,0.49206714797522483,1.6539111322920636e-06,4,,,,,,,,
3,invariant,0.2,0.25,0.5,0,1,10,,,,0.19890665878376296,0.20176640928103187,0.3948902721847676,0.4005677475350258,0.5037010855782624,1.9397723156511855e-06,4,3.0,9.0,,,,,,
4,invariant,0.2,0.25,0.5,0,4,10,,,,0.1932362726521406,0.1911606594217258,0.402594639449415,0.3982702403670566,0.4799772617847294,2.1031215632849696e-06,4,7.0,5.25,,,,,,
5,invariant,0.2,0.25,0.5,0,1,10,,,,0.20811561323607,0.19414687725146618,0.42571672545197714,0.3971425860608915,0.48885937712481636,2.409401402598315e-06,4,6.0,10.0,,,,,,
6,invariant,0.2,0.25,0.5,0,2,10,,,,0.18994332666446773,0.17436980761954046,0.42807865347948193,0.39298033663012955,0.4437112785713148,2.756518553820106e-06,4,9.0,2.0,,,,,,
7,invariant,0.2,0.25,0.5,0,1,10,,,,0.1819476623659924,0.17693696925663874,0.41016608126380044,0.3988704354151333,0.4435950964189353,2.960705113362336e-06,4,3.0,8.0,,,,,,
8,invariant,0.2,0.25,0.5,0,0,10,,,,,0.18027664011833017,,0.4,0.4506916002958255,2.940286457408113e-06,4,,,,,,,,
9,invariant,0.2,0.25,0.5,0,1,10,,,,0.17195563503031328,0.16435771081820935,0.4165654922264135,0.3981593897526208,0.4127937580985494,2.6748439300032138e-06,4,7.0,6.0,,,,,,
10,invariant,0.2,0.25,0.5,0,1,10,,,,0.17116357547986027,0.1644420874516456,0.41465491858877684,0.39837167571235815,0.4127855906361677,2.429820058552538e-06,4,7.0,3.0,,,,,,
11,invariant,0.2,0.25,0.5,0,2,10,,,,0.16117475231119457,0.16907931217008385,0.38489860708012813,0.40377534822996797,0.418746000495765,2.4706573704609838e-06,4,1.5,8.0,,,,,,
12,invariant,0.2,0.25,0.5,0,0,10,,,,,0.1649460682040281,,0.4,0.41236517051007027,2.940286457408113e-06,4,,,,,,,,
13,invariant,0.2,0.25,0.5,0,0,10,,,,,0.16661035201354493,,0.4,0.4165258800338623,2.4706573704609838e-06,4,,,,,,,,
14,invariant,0.2,0.25,0.5,0,1,10,,,,0.1662874542663107,0.1695858807513494,0.3929843948380004,0.40077951168466663,0.42314009525711377,2.654425274048991e-06,4,5.0,10.0,,,,,,
15,invariant,0.2,0.25,0.5,0,1,10,,,,0.18297488223540012,0.18652886451082887,0.3931277338027991,0.4007635851330223,0.465433665708215,2.613587962140545e-06,4,4.0,8.0,,,,,,
16,invariant,0.2,0.25,0.5,0,2,10,,,,0.1782914943884334,0.16690498379981522,0.42153702657814773,0.394615743355463,0.42295571479384714,2.2460521549645307e-06,4,9.5,2.0,,,,,,
17,invariant,0.2,0.25,0.5,0,2,10,,,,0.15955058293983618,0.16150839819128715,0.3961115119973897,0.4009721220006526,0.4027920878524924,3.021961081225005e-06,4,8.5,5.0,,,,,,
18,invariant,0.2,0.25,0.5,0,1,10,,,,0.1635986297704852,0.17593845289555332,0.3745722802043989,0.40282530219951124,0.43676117645761636,2.91986780145389e-06,4,1.0,9.0,,,,,,
19,invariant,0.2,0.25,0.5,0,2,10,,,,0.14861818775597163,0.1577563276696325,0.38124652627615574,0.40468836843096107,0.3898217492172508,2.634006618094768e-06,4,4.0,4.5,,,,,,
20,invariant,0.2,0.25,0.5,0,1,10,,,,0.17724832586507966,0.16184955440243776,0.433928496317087,0.3962301670758792,0.4084735788717549,2.634006618094768e-06,4,6.0,4.0,,,,,,
21,invariant,0.2,0.25,0.5,0,3,10,,,,0.15089552882761428,0.15255115036837394,0.3969512632546004,0.4013066014623141,0.38013615976536513,2.5931693061863217e-06,4,6.666666666666667,6.333333333333333,,,,,,
22,invariant,0.2,0.25,0.5,0,2,10,,,,0.15765773506207265,0.15932422418156567,0.3966458682237117,0.4008385329440721,0.3974773158941677,2.613587962140545e-06,4,5.0,7.5,,,,,,
23,invariant,0.2,0.25,0.5,0,1,10,,,,0.15152644071524102,0.14945888937469498,0.4049732086815225,0.3994474212576087,0.374164111271874,2.654425274048991e-06,4,4.0,10.0,,,,,,
24,invariant,0.2,0.25,0.5,0,1,10,,,,0.14880598941353512,0.15078191304009833,0.3952761847823024,0.400524868357522,0.376460801693605,2.858611833591221e-06,4,2.0,8.0,,,,,,
