defense,bad_client_num,asr_mean,acc_mean,asr_std_across_seeds,acc_std_across_seeds,tail_std_within_run,n_seeds,tail,last_round,seeds,asr_reduction,acc_drop,acc_points_per_asr_point
fedavg,1,0.902161254199328,0.7701567749160134,,,0.03869984782177549,1,5,500,0,,,
fedavg,2,0.9972340425531915,0.7786338185890258,,,0.0010701468600645772,1,5,500,0,,,
flame,1,0.11348264277715561,0.620895856662934,,,0.018691550672823447,1,5,500,0,0.7886786114221724,0.1492609182530794,0.18925442644365234
flame,2,0.19460246360582303,0.6307614781634939,,,0.026753220354592808,1,5,500,0,0.8026315789473685,0.14787234042553188,0.18423439134984299
flame,5,0.7191601343784993,0.6586338185890258,,,0.07073950586648693,1,5,500,0,,,
flame,10,0.8340425531914895,0.668174692049272,,,0.02597764089788821,1,5,500,0,,,
invariant,1,0.17569988801791708,0.6615565509518476,,,0.019387984534626958,1,5,500,0,0.726461366181411,0.1086002239641658,0.14949208453439805
invariant,2,0.4247592385218365,0.6382642777155655,,,0.058871862987954826,1,5,500,0,0.572474804031355,0.14036954087346032,0.2451977622158759
invariant,10,0.9146808510638298,0.6743673012318029,,,0.03040675459333044,1,5,500,0,,,
multi_krum,10,0.979171332586786,0.7227883538633819,,,0.011202966514287385,1,5,500,0,,,
