defense,delta_t,n,asr_global_targeted_mean,asr_personalized_targeted_mean,acc_global_mean,acc_personalized_mean
fedavg,0,5,0.6414333706606943,0.43772676371780517,0.7284434490481523,0.6486674132138858
fedavg,1,8,0.3922872340425531,0.28706606942889135,0.5989641657334827,0.5319918812989921
fedavg,2,3,0.7717431877566256,0.5415640164240387,0.7110862262038072,0.6850877192982455
fedavg,3,3,0.42534527808883915,0.4341918626353117,0.5192235908921239,0.5007838745800671
fedavg,4,6,0.4581933557297499,0.31218738335199697,0.6978350130645764,0.5637364688316535
fedavg,5,1,0.7513997760358343,0.7293952967525196,0.7301231802911534,0.6536954087346025
fedavg,6,1,0.8964165733482643,0.8731802911534154,0.7631578947368421,0.7601903695408735
fedavg,8,1,0.8992161254199328,0.8332586786114222,0.7189249720044792,0.7684210526315789
fedavg,9,3,0.05524449421425903,0.05597237775289283,0.4156401642403882,0.37314296379245987
fedavg,10,2,0.5232362821948487,0.43854983202687564,0.6931690929451289,0.6158174692049272
fedavg,11,3,0.08510638297872336,0.07571855169839486,0.6954087346024637,0.5102836879432624
fedavg,12,3,0.713885778275476,0.6122433743934304,0.7262038073908176,0.7049272116461367
fedavg,13,1,0.337625979843225,0.2737402015677491,0.7351623740201567,0.5725643896976483
fedavg,14,3,0.23497573721537882,0.16071295259425153,0.6396043299738708,0.5030421799178798
fedavg,19,1,0.1013437849944009,0.0268756998880179,0.5431131019036954,0.3044232922732363
fedavg,22,1,0.9507278835386338,0.9225643896976482,0.7788353863381858,0.7805711086226204
fedavg,24,2,0.23348264277715564,0.20825867861142214,0.6808510638297872,0.6071388577827548
fedavg,34,2,0.2950727883538634,0.16870100783874575,0.6898096304591266,0.6044232922732362
fedavg,44,1,0.3840985442329227,0.314501679731243,0.7458006718924972,0.7178051511758119
