round,defense,tau,alpha,alpha_dirichlet,seed,n_malicious_in_round,n_selected,tpr,fpr,youden_j,n_excluded,influence_malicious_mean,influence_benign_mean,trim_survival_malicious_mean,trim_survival_benign_mean,mask_keep_ratio,zero_sign_ratio,effective_trim_n,malicious_rank_l2_mean,malicious_rank_norm_mean,malicious_rank_cos_mean,flame_n_clusters,flame_n_noise,flame_max_cluster_size,flame_fallback_triggered,clip_rate_malicious,clip_rate_benign,precision
1,fedavg,,,0.5,0,0,10,,,,,,1.0,,,,,-1,,,,,,,,,,
2,fedavg,,,0.5,0,0,10,,,,,,1.0,,,,,-1,,,,,,,,,,
3,fedavg,,,0.5,0,0,10,,,,,,1.0,,,,,-1,,,,,,,,,,
4,fedavg,,,0.5,0,0,10,,,,,,1.0,,,,,-1,,,,,,,,,,
5,fedavg,,,0.5,0,0,10,,,,,,1.0,,,,,-1,,,,,,,,,,
6,fedavg,,,0.5,0,0,10,,,,,,1.0,,,,,-1,,,,,,,,,,
7,fedavg,,,0.5,0,0,10,,,,,,1.0,,,,,-1,,,,,,,,,,
8,fedavg,,,0.5,0,0,10,,,,,,1.0,,,,,-1,,,,,,,,,,
9,fedavg,,,0.5,0,1,10,,,,,1.0,1.0,,,,,-1,3.0,4.0,9.0,,,,,,,
10,fedavg,,,0.5,0,0,10,,,,,,1.0,,,,,-1,,,,,,,,,,
11,fedavg,,,0.5,0,0,10,,,,,,1.0,,,,,-1,,,,,,,,,,
12,fedavg,,,0.5,0,0,10,,,,,,1.0,,,,,-1,,,,,,,,,,
13,fedavg,,,0.5,0,0,10,,,,,,1.0,,,,,-1,,,,,,,,,,
14,fedavg,,,0.5,0,0,10,,,,,,1.0,,,,,-1,,,,,,,,,,
15,fedavg,,,0.5,0,1,10,,,,,1.0,1.0,,,,,-1,3.0,10.0,9.0,,,,,,,
16,fedavg,,,0.5,0,1,10,,,,,1.0,1.0,,,,,-1,6.0,7.0,3.0,,,,,,,
17,fedavg,,,0.5,0,1,10,,,,,1.0,1.0,,,,,-1,6.0,6.0,4.0,,,,,,,
18,fedavg,,,0.5,0,0,10,,,,,,1.0,,,,,-1,,,,,,,,,,
19,fedavg,,,0.5,0,0,10,,,,,,1.0,,,,,-1,,,,,,,,,,
20,fedavg,,,0.5,0,0,10,,,,,,1.0,,,,,-1,,,,,,,,,,
21,fedavg,,,0.5,0,1,10,,,,,1.0,1.0,,,,,-1,2.0,6.0,9.0,,,,,,,
22,fedavg,,,0.5,0,0,10,,,,,,1.0,,,,,-1,,,,,,,,,,
23,fedavg,,,0.5,0,0,10,,,,,,1.0,,,,,-1,,,,,,,,,,
24,fedavg,,,0.5,0,0,10,,,,,,1.0,,,,,-1,,,,,,,,,,
25,fedavg,,,0.5,0,0,10,,,,,,1.0,,,,,-1,,,,,,,,,,
26,fedavg,,,0.5,0,0,10,,,,,,1.0,,,,,-1,,,,,,,,,,
27,fedavg,,,0.5,0,0,10,,,,,,1.0,,,,,-1,,,,,,,,,,
28,fedavg,,,0.5,0,0,10,,,,,,1.0,,,,,-1,,,,,,,,,,
29,fedavg,,,0.5,0,0,10,,,,,,1.0,,,,,-1,,,,,,,,,,
30,fedavg,,,0.5,0,0,10,,,,,,1.0,,,,,-1,,,,,,,,,,
31,fedavg,,,0.5,0,0,10,,,,,,1.0,,,,,-1,,,,,,,,,,
32,fedavg,,,0.5,0,0,10,,,,,,1.0,,,,,-1,,,,,,,,,,
33,fedavg,,,0.5,0,0,10,,,,,,1.0,,,,,-1,,,,,,,,,,
34,fedavg,,,0.5,0,0,10,,,,,,1.0,,,,,-1,,,,,,,,,,
35,fedavg,,,0.5,0,0,10,,,,,,1.0,,,,,-1,,,,,,,,,,
36,fedavg,,,0.5,0,0,10,,,,,,1.0,,,,,-1,,,,,,,,,,
37,fedavg,,,0.5,0,0,10,,,,,,1.0,,,,,-1,,,,,,,,,,
38,fedavg,,,0.5,0,0,10,,,,,,1.0,,,,,-1,,,,,,,,,,
39,fedavg,,,0.5,0,0,10,,,,,,1.0,,,,,-1,,,,,,,,,,
40,fedavg,,,0.5,0,0,10,,,,,,1.0,,,,,-1,,,,,,,,,,
41,fedavg,,,0.5,0,0,10,,,,,,1.0,,,,,-1,,,,,,,,,,
42,fedavg,,,0.5,0,0,10,,,,,,1.0,,,,,-1,,,,,,,,,,
43,fedavg,,,0.5,0,0,10,,,,,,1.0,,,,,-1,,,,,,,,,,
44,fedavg,,,0.5,0,0,10,,,,,,1.0,,,,,-1,,,,,,,,,,
45,fedavg,,,0.5,0,0,10,,,,,,1.0,,,,,-1,,,,,,,,,,
46,fedavg,,,0.5,0,1,10,,,,,1.0,1.0,,,,,-1,1.0,1.0,9.0,,,,,,,
47,fedavg,,,0.5,0,0,10,,,,,,1.0,,,,,-1,,,,,,,,,,
48,fedavg,,,0.5,0,0,10,,,,,,1.0,,,,,-1,,,,,,,,,,
49,fedavg,,,0.5,0,0,10,,,,,,1.0,,,,,-1,,,,,,,,,,
50,fedavg,,,0.5,0,0,10,,,,,,1.0,,,,,-1,,,,,,,,,,
51,fedavg,,,0.5,0,0,10,,,,,,1.0,,,,,-1,,,,,,,,,,
52,fedavg,,,0.5,0,0,10,,,,,,1.0,,,,,-1,,,,,,,,,,
53,fedavg,,,0.5,0,0,10,,,,,,1.0,,,,,-1,,,,,,,,,,
54,fedavg,,,0.5,0,0,10,,,,,,1.0,,,,,-1,,,,,,,,,,
55,fedavg,,,0.5,0,0,10,,,,,,1.0,,,,,-1,,,,,,,,,,
56,fedavg,,,0.5,0,0,10,,,,,,1.0,,,,,-1,,,,,,,,,,
57,fedavg,,,0.5,0,0,10,,,,,,1.0,,,,,-1,,,,,,,,,,
58,fedavg,,,0.5,0,0,10,,,,,,1.0,,,,,-1,,,,,,,,,,
59,fedavg,,,0.5,0,0,10,,,,,,1.0,,,,,-1,,,,,,,,,,
60,fedavg,,,0.5,0,0,10,,,,,,1.0,,,,,-1,,,,,,,,,,
61,fedavg,,,0.5,0,1,10,,,,,1.0,1.0,,,,,-1,1.0,1.0,6.0,,,,,,,
62,fedavg,,,0.5,0,0,10,,,,,,1.0,,,,,-1,,,,,,,,,,
63,fedavg,,,0.5,0,0,10,,,,,,1.0,,,,,-1,,,,,,,,,,
64,fedavg,,,0.5,0,0,10,,,,,,1.0,,,,,-1,,,,,,,,,,
65,fedavg,,,0.5,0,0,10,,,,,,1.0,,,,,-1,,,,,,,,,,
66,fedavg,,,0.5,0,0,10,,,,,,1.0,,,,,-1,,,,,,,,,,
67,fedavg,,,0.5,0,0,10,,,,,,1.0,,,,,-1,,,,,,,,,,
68,fedavg,,,0.5,0,0,10,,,,,,1.0,,,,,-1,,,,,,,,,,
69,fedavg,,,0.5,0,0,10,,,,,,1.0,,,,,-1,,,,,,,,,,
70,fedavg,,,0.5,0,0,10,,,,,,1.0,,,,,-1,,,,,,,,,,
71,fedavg,,,0.5,0,0,10,,,,,,1.0,,,,,-1,,,,,,,,,,
72,fedavg,,,0.5,0,0,10,,,,,,1.0,,,,,-1,,,,,,,,,,
73,fedavg,,,0.5,0,0,10,,,,,,1.0,,,,,-1,,,,,,,,,,
74,fedavg,,,0.5,0,0,10,,,,,,1.0,,,,,-1,,,,,,,,,,
75,fedavg,,,0.5,0,0,10,,,,,,1.0,,,,,-1,,,,,,,,,,
76,fedavg,,,0.5,0,0,10,,,,,,1.0,,,,,-1,,,,,,,,,,
77,fedavg,,,0.5,0,0,10,,,,,,1.0,,,,,-1,,,,,,,,,,
78,fedavg,,,0.5,0,0,10,,,,,,1.0,,,,,-1,,,,,,,,,,
79,fedavg,,,0.5,0,1,10,,,,,1.0,1.0,,,,,-1,1.0,1.0,5.0,,,,,,,
80,fedavg,,,0.5,0,0,10,,,,,,1.0,,,,,-1,,,,,,,,,,
81,fedavg,,,0.5,0,0,10,,,,,,1.0,,,,,-1,,,,,,,,,,
82,fedavg,,,0.5,0,0,10,,,,,,1.0,,,,,-1,,,,,,,,,,
83,fedavg,,,0.5,0,0,10,,,,,,1.0,,,,,-1,,,,,,,,,,
84,fedavg,,,0.5,0,0,10,,,,,,1.0,,,,,-1,,,,,,,,,,
85,fedavg,,,0.5,0,0,10,,,,,,1.0,,,,,-1,,,,,,,,,,
