round,defense,tau,alpha,alpha_dirichlet,seed,n_malicious_in_round,n_selected,tpr,fpr,youden_j,n_excluded,influence_malicious_mean,influence_benign_mean,trim_survival_malicious_mean,trim_survival_benign_mean,mask_keep_ratio,zero_sign_ratio,effective_trim_n,malicious_rank_l2_mean,malicious_rank_norm_mean,malicious_rank_cos_mean,flame_n_clusters,flame_n_noise,flame_max_cluster_size,flame_fallback_triggered,clip_rate_malicious,clip_rate_benign,cos_to_others_malicious_mean,cos_to_others_benign_mean,precision
1,flame,,,0.5,0,0,10,,0.3,,3,,0.7,,,,,-1,,,,1,3,7,False,,0.5,,0.06763376185947491,0.0
2,flame,,,0.5,0,0,10,,0.3,,3,,0.7,,,,,-1,,,,1,3,7,False,,0.5,,0.14246656987630035,0.0
3,flame,,,0.5,0,0,10,,0.4,,4,,0.6,,,,,-1,,,,1,4,6,False,,0.5,,0.13847293497337668,0.0
4,flame,,,0.5,0,1,10,0.0,0.4444444444444444,-0.4444444444444444,4,1.0,0.5555555555555556,,,,,-1,5.0,3.0,6.0,1,4,6,False,1.0,0.4444444444444444,0.11431807460413272,0.11563409500577287,0.0
5,flame,,,0.5,0,0,10,,0.3,,3,,0.7,,,,,-1,,,,1,3,7,False,,0.5,,0.11016079037872117,0.0
6,flame,,,0.5,0,0,10,,0.4,,4,,0.6,,,,,-1,,,,1,4,6,False,,0.5,,0.06950133463851292,0.0
7,flame,,,0.5,0,1,10,0.0,0.3333333333333333,-0.3333333333333333,3,1.0,0.6666666666666666,,,,,-1,6.0,3.0,3.0,1,3,7,False,1.0,0.4444444444444444,0.10913328773586639,0.08714015510113701,0.0
8,flame,,,0.5,0,0,10,,0.3,,3,,0.7,,,,,-1,,,,1,3,7,False,,0.5,,0.09080309361413555,0.0
9,flame,,,0.5,0,1,10,0.0,0.3333333333333333,-0.3333333333333333,3,1.0,0.6666666666666666,,,,,-1,6.0,4.0,6.0,1,3,7,False,1.0,0.4444444444444444,0.03659911972924815,0.0358890122501228,0.0
10,flame,,,0.5,0,0,10,,0.3,,3,,0.7,,,,,-1,,,,1,3,7,False,,0.5,,0.06553233549079948,0.0
11,flame,,,0.5,0,1,10,0.0,0.4444444444444444,-0.4444444444444444,4,1.0,0.5555555555555556,,,,,-1,2.0,3.0,8.0,1,4,6,False,1.0,0.4444444444444444,0.03270061008213116,0.07017408043672245,0.0
12,flame,,,0.5,0,0,10,,0.4,,4,,0.6,,,,,-1,,,,1,4,6,False,,0.5,,0.0908449587611229,0.0
13,flame,,,0.5,0,0,10,,0.4,,4,,0.6,,,,,-1,,,,1,4,6,False,,0.5,,0.08315615556461363,0.0
14,flame,,,0.5,0,0,10,,0.4,,4,,0.6,,,,,-1,,,,1,4,6,False,,0.5,,0.11092914951853002,0.0
15,flame,,,0.5,0,1,10,1.0,0.3333333333333333,0.6666666666666667,4,0.0,0.6666666666666666,,,,,-1,3.0,7.0,9.0,1,4,6,False,0.0,0.5555555555555556,0.1019438210709902,0.17906049336973595,0.25
