round,defense,tau,alpha,alpha_dirichlet,seed,n_malicious_in_round,n_selected,tpr,fpr,youden_j,n_excluded,influence_malicious_mean,influence_benign_mean,trim_survival_malicious_mean,trim_survival_benign_mean,mask_keep_ratio,zero_sign_ratio,effective_trim_n,malicious_rank_l2_mean,malicious_rank_norm_mean,malicious_rank_cos_mean,flame_n_clusters,flame_n_noise,flame_max_cluster_size,flame_fallback_triggered,clip_rate_malicious,clip_rate_benign,precision
1,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.18682416801123516,,0.39999999999999997,0.4670604200280879,1.4497245727498334e-06,4,,,,,,,,,,
2,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.2061131005688229,,0.39999999999999997,0.5152827514220573,1.7560044120631786e-06,4,,,,,,,,,,
3,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.2026329448479851,,0.4,0.5065823621199629,2.1847961871018617e-06,4,,,,,,,,,,
4,invariant,0.2,0.25,0.5,0,1,10,,,,,0.20302978702181732,0.19168964497349675,0.4211719410096862,0.3976475621100348,0.48205914794582194,2.2256334990103075e-06,4,6.0,6.0,5.0,,,,,,,
5,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.19071000158857143,,0.39999999999999997,0.4767750039714286,2.1847961871018617e-06,4,,,,,,,,,,
6,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.17823730643624622,,0.4,0.44559326609061556,2.2664708109187538e-06,4,,,,,,,,,,
7,invariant,0.2,0.25,0.5,0,1,10,,,,,0.18203764532584202,0.17681661965825396,0.41059875258347045,0.39882236082405886,0.4433468055625319,3.144473016950343e-06,4,5.0,3.0,2.0,,,,,,,
8,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.17382744847250078,,0.4,0.4345686211812519,2.960705113362336e-06,4,,,,,,,,,,
9,invariant,0.2,0.25,0.5,0,1,10,,,,,0.16160377437912538,0.16100174706208828,0.4013456302646952,0.399850485526145,0.40265487448448,2.654425274048991e-06,4,5.0,4.0,6.0,,,,,,,
10,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.16741027327920754,,0.4,0.4185256831980189,3.083217049087674e-06,4,,,,,,,,,,
11,invariant,0.2,0.25,0.5,0,1,10,,,,,0.1604975070540555,0.1692672626499788,0.38125122256702526,0.40208319749255267,0.4209757177259661,2.695262585957437e-06,4,1.0,2.0,10.0,,,,,,,
12,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.16546470206526537,,0.39999999999999997,0.41366175516316345,3.2465662967214583e-06,4,,,,,,,,,,
13,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.1624741857142099,,0.4,0.4061854642855247,2.4502387145067606e-06,4,,,,,,,,,,
14,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.1671632892167853,,0.4,0.4179082230419632,2.5319133383236527e-06,4,,,,,,,,,,
15,invariant,0.2,0.25,0.5,0,1,10,,,,,0.17709338906524216,0.1752202983477355,0.40384426119381345,0.399572859867354,0.43851901854871544,2.960705113362336e-06,4,4.0,9.0,8.0,,,,,,,
16,invariant,0.2,0.25,0.5,0,1,10,,,,,0.16163103642791213,0.16464004492405954,0.3934084903221696,0.40073238996420335,0.41084786018611197,2.91986780145389e-06,4,9.0,7.0,6.0,,,,,,,
17,invariant,0.2,0.25,0.5,0,1,10,,,,,0.1511845815755752,0.15770045443887945,0.3850637940067978,0.40165957844368916,0.3926221678813725,2.7360998978658827e-06,4,6.0,5.0,4.0,,,,,,,
18,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.17809282402671414,,0.39999999999999997,0.44523206006678534,3.062798393133451e-06,4,,,,,,,,,,
19,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.15787312745610907,,0.4,0.3946828186402727,2.797355865728552e-06,4,,,,,,,,,,
20,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.16063201457401988,,0.4,0.4015800364350497,2.71568124191166e-06,4,,,,,,,,,,
21,invariant,0.2,0.25,0.5,0,1,10,,,,,0.15338193152302762,0.15664790716809485,0.3924786247300143,0.40083570836333177,0.3908032740089703,2.634006618094768e-06,4,7.0,10.0,8.0,,,,,,,
22,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.16091738570963612,,0.39999999999999997,0.40229346427409024,2.7360998978658827e-06,4,,,,,,,,,,
23,invariant,0.2,0.25,0.5,0,1,10,,,,,0.14594631620442547,0.15032501607566495,0.3894832079015298,0.40116853245538553,0.37471786522135253,2.838193177636998e-06,4,2.0,2.0,10.0,,,,,,,
24,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.15648825253466986,,0.4,0.3912206313366746,2.654425274048991e-06,4,,,,,,,,,,
25,invariant,0.2,0.25,0.5,0,1,10,,,,,0.1398740193544188,0.14954835766043953,0.37655983217498296,0.40260446309166853,0.37145230957459363,2.286889466872977e-06,4,1.0,1.0,9.0,,,,,,,
26,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.15488873670183984,,0.4,0.3872218417545996,2.5931693061863217e-06,4,,,,,,,,,,
