round,defense,tau,alpha,alpha_dirichlet,seed,n_malicious_in_round,n_selected,tpr,fpr,youden_j,n_excluded,influence_malicious_mean,influence_benign_mean,trim_survival_malicious_mean,trim_survival_benign_mean,mask_keep_ratio,zero_sign_ratio,effective_trim_n,malicious_rank_l2_mean,malicious_rank_norm_mean,malicious_rank_cos_mean,flame_n_clusters,flame_n_noise,flame_max_cluster_size,flame_fallback_triggered,clip_rate_malicious,clip_rate_benign,precision
1,flame,,,0.5,0,2,10,0.0,0.5,-0.5,4,1.0,0.5,,,,,-1,7.5,8.0,6.0,1,4,6,False,0.0,0.625,0.0
2,flame,,,0.5,0,0,10,,0.4,,4,,0.6,,,,,-1,,,,1,4,6,False,,0.5,0.0
3,flame,,,0.5,0,1,10,1.0,0.3333333333333333,0.6666666666666667,4,0.0,0.6666666666666666,,,,,-1,4.0,8.0,9.0,1,4,6,False,0.0,0.5555555555555556,0.25
4,flame,,,0.5,0,4,10,0.0,0.6666666666666666,-0.6666666666666666,4,1.0,0.3333333333333333,,,,,-1,7.25,5.25,4.0,1,4,6,False,0.5,0.5,0.0
5,flame,,,0.5,0,1,10,1.0,0.3333333333333333,0.6666666666666667,4,0.0,0.6666666666666666,,,,,-1,8.0,10.0,10.0,1,4,6,False,0.0,0.6666666666666666,0.25
6,flame,,,0.5,0,2,10,0.0,0.375,-0.375,3,1.0,0.625,,,,,-1,9.0,5.0,2.0,1,3,7,False,0.5,0.625,0.0
7,flame,,,0.5,0,1,10,0.0,0.2222222222222222,-0.2222222222222222,2,1.0,0.7777777777777778,,,,,-1,3.0,4.0,8.0,1,2,8,False,1.0,0.4444444444444444,0.0
8,flame,,,0.5,0,0,10,,0.2,,2,,0.8,,,,,-1,,,,1,2,8,False,,0.6,0.0
9,flame,,,0.5,0,1,10,1.0,0.3333333333333333,0.6666666666666667,4,0.0,0.6666666666666666,,,,,-1,5.0,7.0,6.0,1,4,6,False,0.0,0.5555555555555556,0.25
10,flame,,,0.5,0,1,10,0.0,0.4444444444444444,-0.4444444444444444,4,1.0,0.5555555555555556,,,,,-1,7.0,6.0,3.0,1,4,6,False,1.0,0.5555555555555556,0.0
11,flame,,,0.5,0,2,10,0.0,0.5,-0.5,4,1.0,0.5,,,,,-1,1.5,1.5,5.0,1,4,6,False,1.0,0.375,0.0
12,flame,,,0.5,0,0,10,,0.3,,3,,0.7,,,,,-1,,,,1,3,7,False,,0.5,0.0
13,flame,,,0.5,0,0,10,,0.3,,3,,0.7,,,,,-1,,,,1,3,7,False,,0.5,0.0
14,flame,,,0.5,0,1,10,0.0,0.3333333333333333,-0.3333333333333333,3,1.0,0.6666666666666666,,,,,-1,3.0,3.0,8.0,1,3,7,False,1.0,0.4444444444444444,0.0
15,flame,,,0.5,0,1,10,1.0,0.2222222222222222,0.7777777777777778,3,0.0,0.7777777777777778,,,,,-1,4.0,9.0,9.0,1,3,7,False,0.0,0.5555555555555556,0.3333333333333333
16,flame,,,0.5,0,2,10,0.0,0.375,-0.375,3,1.0,0.625,,,,,-1,9.0,7.0,3.5,1,3,7,False,0.0,0.625,0.0
17,flame,,,0.5,0,2,10,0.0,0.125,-0.125,1,1.0,0.875,,,,,-1,8.5,8.5,5.5,1,1,9,False,0.0,0.625,0.0
