round,defense,tau,alpha,alpha_dirichlet,seed,n_malicious_in_round,n_selected,tpr,fpr,youden_j,n_excluded,influence_malicious_mean,influence_benign_mean,trim_survival_malicious_mean,trim_survival_benign_mean,mask_keep_ratio,zero_sign_ratio,effective_trim_n,malicious_rank_l2_mean,malicious_rank_norm_mean,malicious_rank_cos_mean,flame_n_clusters,flame_n_noise,flame_max_cluster_size,flame_fallback_triggered,clip_rate_malicious,clip_rate_benign,precision
1,multi_krum,,,0.5,0,2,10,0.0,0.25,-0.25,2,1.0,0.75,,,,,-1,7.5,8.0,6.0,,,,,,,0.0
2,multi_krum,,,0.5,0,0,10,,0.2,,2,,0.8,,,,,-1,,,,,,,,,,0.0
3,multi_krum,,,0.5,0,1,10,0.0,0.2222222222222222,-0.2222222222222222,2,1.0,0.7777777777777778,,,,,-1,4.0,7.0,9.0,,,,,,,0.0
4,multi_krum,,,0.5,0,4,10,0.0,0.3333333333333333,-0.3333333333333333,2,1.0,0.6666666666666666,,,,,-1,7.0,6.0,4.5,,,,,,,0.0
5,multi_krum,,,0.5,0,1,10,0.0,0.2222222222222222,-0.2222222222222222,2,1.0,0.7777777777777778,,,,,-1,7.0,10.0,10.0,,,,,,,0.0
6,multi_krum,,,0.5,0,2,10,0.0,0.25,-0.25,2,1.0,0.75,,,,,-1,9.0,5.5,2.0,,,,,,,0.0
7,multi_krum,,,0.5,0,1,10,0.0,0.2222222222222222,-0.2222222222222222,2,1.0,0.7777777777777778,,,,,-1,4.0,4.0,7.0,,,,,,,0.0
8,multi_krum,,,0.5,0,0,10,,0.2,,2,,0.8,,,,,-1,,,,,,,,,,0.0
9,multi_krum,,,0.5,0,1,10,1.0,0.1111111111111111,0.8888888888888888,2,0.0,0.8888888888888888,,,,,-1,5.0,4.0,6.0,,,,,,,0.5
10,multi_krum,,,0.5,0,1,10,0.0,0.2222222222222222,-0.2222222222222222,2,1.0,0.7777777777777778,,,,,-1,7.0,6.0,2.0,,,,,,,0.0
11,multi_krum,,,0.5,0,2,10,0.5,0.125,0.375,2,0.5,0.875,,,,,-1,1.5,1.5,7.5,,,,,,,0.5
12,multi_krum,,,0.5,0,0,10,,0.2,,2,,0.8,,,,,-1,,,,,,,,,,0.0
13,multi_krum,,,0.5,0,0,10,,0.2,,2,,0.8,,,,,-1,,,,,,,,,,0.0
14,multi_krum,,,0.5,0,1,10,0.0,0.2222222222222222,-0.2222222222222222,2,1.0,0.7777777777777778,,,,,-1,5.0,4.0,7.0,,,,,,,0.0
