round,defense,seed,bad_client_num,client_id,is_malicious,participated_this_round,acc,mta,clean_loss,acc_target_class,asr_targeted,asr_unfiltered,asr_paper,asr_paper_frozen
2,fedavg,0,4,0,False,False,0.11702127659574468,0.1045,2.3024937438964845,0.0,0.0,0.0,0.0,
2,fedavg,0,4,1,False,False,0.09294512877939531,0.083,2.3032246856689453,0.0,0.0,0.0,0.0,
2,fedavg,0,4,2,False,True,0.17805151175811873,0.25,2.3890725860595703,0.8504672897196262,0.4070548712206047,0.445,0.45535714285714285,
2,fedavg,0,4,3,False,False,0.11310190369540873,0.101,2.3028401336669924,0.0,0.0,0.0,0.0,
2,fedavg,0,4,4,False,True,0.22116461366181406,0.2365,2.2306736450195315,0.3644859813084112,0.054871220604703244,0.074,0.0625,
2,fedavg,0,4,5,False,True,0.17917133258678608,0.24,1.9299735565185547,0.7476635514018691,0.3012318029115342,0.337,0.27232142857142855,
2,fedavg,0,4,7,False,False,0.11534154535274355,0.103,2.303352081298828,0.0,0.0,0.0,0.0,
2,fedavg,0,4,8,False,False,0.11310190369540873,0.101,2.3035677795410154,0.0,0.0,0.0,0.0,
2,fedavg,0,4,9,False,False,0.26259798432250836,0.2345,2.160547607421875,0.0,0.0,0.0,0.0,
2,fedavg,0,4,10,False,False,0.0,0.107,2.3027999572753908,1.0,1.0,1.0,1.0,
2,fedavg,0,4,6,True,False,0.14165733482642773,0.197,2.4323411865234377,0.6588785046728972,0.41937290033594626,0.4375,0.39732142857142855,
2,fedavg,0,4,15,True,False,0.1142217245240762,0.102,2.30320458984375,0.0,0.0,0.0,0.0,
2,fedavg,0,4,17,True,False,0.0,0.107,2.302805633544922,1.0,1.0,1.0,1.0,
2,fedavg,0,4,26,True,False,0.0985442329227324,0.088,2.3028629150390625,0.0,0.0,0.0,0.8973214285714286,
4,fedavg,0,4,0,False,False,0.11702127659574468,0.1045,2.3024937438964845,0.0,0.0,0.0,0.0,
4,fedavg,0,4,1,False,False,0.09294512877939531,0.083,2.3032246856689453,0.0,0.0,0.0,0.0,
4,fedavg,0,4,2,False,False,0.17805151175811873,0.25,2.3890725860595703,0.8504672897196262,0.4076147816349384,0.4465,0.48214285714285715,
4,fedavg,0,4,3,False,True,0.18756998880179176,0.17,3.614842834472656,0.02336448598130841,0.0011198208286674132,0.0015,0.013392857142857142,
4,fedavg,0,4,4,False,False,0.22116461366181406,0.2365,2.2306736450195315,0.3644859813084112,0.06606942889137737,0.085,0.05803571428571429,
4,fedavg,0,4,5,False,True,0.22396416573348266,0.2495,2.005279052734375,0.46261682242990654,0.0940649496080627,0.118,0.13392857142857142,
4,fedavg,0,4,7,False,False,0.11534154535274355,0.103,2.303352081298828,0.0,0.0,0.0,0.0,
4,fedavg,0,4,8,False,False,0.11310190369540873,0.101,2.3035677795410154,0.0,0.0,0.0,0.0,
4,fedavg,0,4,9,False,False,0.26259798432250836,0.2345,2.160547607421875,0.0,0.0,0.0,0.0,
4,fedavg,0,4,10,False,True,0.17749160134378494,0.1585,3.2813871765136717,0.0,0.0,0.0,0.0,
4,fedavg,0,4,6,True,False,0.20772676371780519,0.2085,2.5264974670410156,0.21495327102803738,0.03807390817469205,0.045,0.05357142857142857,
4,fedavg,0,4,15,True,False,0.1142217245240762,0.102,2.30320458984375,0.0,0.0,0.0,0.0,
