round,defense,bad_client_num,poison_rate,schedule,attack_active_this_round,tau,alpha,alpha_dirichlet,seed,variant,acc_global,acc_global_raw,acc_personalized,asr_global_targeted,asr_personalized_targeted,asr_unfiltered,asr_paper_benign,asr_paper_malicious,asr_paper_all,asr_paper_filtered_benign,asr_paper_filtered_malicious,asr_paper_filtered_all,asr_paper_frozen_benign,asr_paper_frozen_malicious,asr_paper_frozen_all,mta_personalized,mta_global,clean_loss_personalized,clean_loss_global,acc_target_class_personalized,acc_target_class_global,mask_keep_ratio,effective_trim_n,zero_sign_ratio,n_malicious_this_round,rounds_since_last_malicious,n_eval_clients,n_eval_clients_participated_this_round,acc_malicious_own,asr_malicious_own,n_eval_malicious,train_wall_s,eval_wall_s
2,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.10694288913773797,0.07054871220604708,0.11959686450167975,0.0,0.21780515117581184,0.22430000000000003,0.22142857142857145,0.4709821428571429,0.2927295918367347,0.20057028810608468,0.47203685206044244,0.2781321635216155,,,,0.1388,0.0955,2.3834828414916993,2.303421539306641,0.29906542056074764,0.0,,-1,,0,1,10,3,0.11268197088465848,0.2546192609182531,4,2.668,12.272
4,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.10526315789473684,0.05823068309070545,0.15873460246360582,0.0,0.07273236282194848,0.07970000000000001,0.08571428571428572,0.24776785714285715,0.13201530612244897,0.06447574334898279,0.2451580183642964,0.11609925049621525,,,,0.15955,0.094,2.5081421234130863,2.3035146484375,0.16635514018691588,0.0,,-1,,1,0,10,3,0.1243001119820829,0.24398096304591266,4,3.914,11.972
6,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.05095184770436734,0.06550951847704367,0.19300111982082865,0.05655095184770437,0.10347144456886899,0.11524999999999999,0.12946428571428573,0.24888392857142855,0.1635841836734694,0.08758471158508105,0.24529577102152036,0.13264501428120656,,,,0.19905,0.0455,2.552934651184082,2.403237854003906,0.24953271028037385,0.0,,-1,,0,1,10,3,0.14991601343784997,0.24384098544232924,4,2.54,12.951
8,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.04703247480403139,0.0727883538633819,0.2332586786114222,0.1455767077267637,0.11825307950727884,0.13015,0.1375,0.10602678571428573,0.1285076530612245,0.09547395931263522,0.08395740128379692,0.09218351416153855,,,,0.23784999999999998,0.0435,2.486373840332031,2.4680743103027343,0.2761682242990654,0.014018691588785047,,-1,,1,0,10,3,0.2635778275475924,0.10806270996640537,4,4.112,11.975
10,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.04423292273236279,0.058790593505039235,0.2254199328107503,0.1881298992161254,0.11517357222844345,0.12785,0.13660714285714287,0.055803571428571425,0.11352040816326532,0.0881235083888586,0.036332877314701716,0.07332618522481378,,,,0.23135000000000003,0.041,2.588659104919434,2.5004813232421874,0.2808411214953271,0.014018691588785047,,-1,,0,1,10,3,0.26049832026875697,0.06019036954087346,4,2.539,12.01
12,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.07950727883538633,0.07110862262038076,0.24406494960806274,0.07446808510638298,0.08365061590145577,0.09505,0.11607142857142858,0.08147321428571429,0.10618622448979594,0.06653288115075126,0.0566105560651511,0.06369793112629407,,,,0.24380000000000002,0.0725,2.532253880310059,2.371491439819336,0.24158878504672895,0.014018691588785047,,-1,,1,0,10,1,0.26189809630459127,0.08496640537513998,4,3.993,12.005
14,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.08398656215005595,0.08118701007838747,0.26450167973124294,0.05431131019036954,0.08365061590145575,0.0946,0.11517857142857142,0.15736607142857142,0.12723214285714285,0.06787996012938233,0.13509199134199135,0.0870833976186992,,,,0.26205,0.0755,2.465803370666504,2.3654161376953127,0.241588785046729,0.004672897196261682,,-1,,2,0,10,3,0.2800951847704367,0.14571668533034715,4,5.259,11.89
16,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.06886898096304594,0.08230683090705482,0.28980963045912655,0.052071668533034715,0.0950727883538634,0.10885,0.12321428571428572,0.23325892857142858,0.15465561224489796,0.07401076308670768,0.21104839513556617,0.1131643722435244,,,,0.2887,0.0615,2.558916343688965,2.3603409118652343,0.2794392523364486,0.0,,-1,,1,0,10,4,0.2842945128779395,0.21738521836506158,4,4.009,12.1
18,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.06886898096304594,0.08902575587905937,0.28544232922732365,0.03527435610302351,0.09669652855543114,0.1113,0.1263392857142857,0.22544642857142855,0.15465561224489796,0.07599987173986679,0.2058107981459738,0.11308870785589738,,,,0.28575000000000006,0.062,2.5609567367553714,2.351927917480469,0.28831775700934575,0.004672897196261682,,-1,,2,0,10,1,0.3092105263157895,0.22494400895856662,4,6.359,12.169
20,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.07614781634938406,0.08678611422172455,0.2857782754759238,0.008958566629339306,0.11657334826427772,0.13315,0.1441964285714286,0.23772321428571427,0.1709183673469388,0.0926994893564661,0.21930430274265772,0.12887229318109225,,,,0.29050000000000004,0.068,2.368650297546387,2.3483920440673827,0.3299065420560748,0.0,,-1,,2,0,10,1,0.3170492721164614,0.24804031354983203,4,5.584,12.101
