round,defense,bad_client_num,poison_rate,schedule,attack_active_this_round,tau,alpha,alpha_dirichlet,seed,variant,acc_global,acc_global_raw,acc_personalized,asr_global_targeted,asr_personalized_targeted,asr_unfiltered,asr_paper_benign,asr_paper_malicious,asr_paper_all,asr_paper_filtered_benign,asr_paper_filtered_malicious,asr_paper_filtered_all,asr_paper_frozen_benign,asr_paper_frozen_malicious,asr_paper_frozen_all,mta_personalized,mta_global,mta_personalized_shared,asr_paper_shared_benign,asr_paper_filtered_shared_benign,acc_local_personalized,acc_local_malicious,acc_local_personalized_shared,clean_loss_personalized,clean_loss_global,acc_target_class_personalized,acc_target_class_global,mask_keep_ratio,effective_trim_n,zero_sign_ratio,n_malicious_this_round,rounds_since_last_malicious,n_eval_clients,n_eval_clients_participated_this_round,acc_malicious_own,asr_malicious_own,n_eval_malicious,train_wall_s,eval_wall_s
2,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.11702127659574468,0.11702127659574468,0.09070548712206047,0.0,0.22189249720044796,0.2191,0.2125,0.43229166666666663,0.275297619047619,0.21423796166432912,0.426056338028169,0.27475749776828334,,,,0.1076,0.1045,,,,0.08854166666666666,0.21354166666666666,,2.330195928955078,2.300916198730469,0.2485981308411215,0.0,,-1,,0,1,10,1,0.09154535274356101,0.42259238521836506,4,4.537,11.7
4,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.13325867861142215,0.13325867861142215,0.11942889137737962,0.0,0.20145576707726764,0.19605,0.19791666666666666,0.41927083333333337,0.2611607142857143,0.19903225806451613,0.4131944444444444,0.2602214541730671,,,,0.12715,0.119,,,,0.11041666666666665,0.3541666666666667,,2.332866812133789,2.301074951171875,0.191588785046729,0.0,,-1,,1,0,10,1,0.11310190369540873,0.4174132138857783,4,5.461,11.535
6,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.25307950727883544,0.10694288913773797,0.17318029115341546,0.05375139977603583,0.21332586786114222,0.21070000000000003,0.2125,0.5963541666666666,0.32217261904761907,0.2075573388420997,0.5905924678505817,0.3169959471302374,,,,0.18215,0.2585,,,,0.290625,0.43489583333333337,,2.5323823852539062,2.133321563720703,0.25700934579439255,0.3037383177570093,,-1,,2,0,10,4,0.13353863381858902,0.5974244120940649,4,6.674,11.422
8,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.2894736842105263,0.1114221724524076,0.19860022396416574,0.006159014557670772,0.11164613661814111,0.1093,0.11041666666666665,0.7604166666666666,0.2961309523809524,0.10721283261991969,0.7577005511328843,0.2930664664807667,,,,0.19415,0.2695,,,,0.34895833333333337,0.40625,,2.657637280273438,2.3503499755859374,0.15700934579439252,0.102803738317757,,-1,,0,1,10,0,0.17049272116461367,0.7452407614781635,4,4.241,11.429
10,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.21612541993281076,0.13381858902575583,0.1862821948488242,0.027435610302351622,0.11142217245240763,0.10905000000000001,0.10937499999999997,0.6953125,0.2767857142857143,0.10715818781117652,0.6912191449937132,0.274032747006187,,,,0.18355000000000002,0.221,,,,0.35,0.5052083333333334,,3.2338837921142582,2.5726176300048826,0.16074766355140185,0.2616822429906542,,-1,,0,1,10,1,0.2425811870100784,0.6312989921612542,4,4.247,11.474
12,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.2172452407614781,0.1606942889137738,0.23980963045912654,0.003919372900335946,0.1360582306830907,0.13674999999999998,0.12916666666666668,0.6276041666666666,0.271577380952381,0.12366846410850833,0.6242210189691415,0.266683479782975,,,,0.2394,0.2005,,,,0.4041666666666666,0.45833333333333337,,2.7186046905517576,2.6486036987304686,0.23598130841121495,0.06074766355140187,,-1,,0,1,10,2,0.20562709966405374,0.5299552071668533,4,4.262,11.38
14,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.32978723404255317,0.08510638297872342,0.23980963045912654,0.0671892497200448,0.13617021276595745,0.13684999999999997,0.128125,0.6432291666666667,0.275297619047619,0.12117940527754038,0.6420707398766832,0.27000550087729547,,,,0.2394,0.3475,,,,0.4072916666666666,0.4609375,,2.7186046905517576,2.1317314453125,0.23598130841121495,0.4953271028037383,,-1,,0,3,10,0,0.20464725643896975,0.5258958566629339,4,4.236,11.449
16,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.16797312430011202,0.15229563269876822,0.24949608062709966,0.005599104143337066,0.13135498320268757,0.13,0.128125,0.6692708333333334,0.28273809523809523,0.12242334310928897,0.6721364098652428,0.27948421932527584,,,,0.24819999999999998,0.156,,,,0.409375,0.4765625,,2.6464944412231444,3.0897835388183594,0.23738317757009347,0.056074766355140186,,-1,,2,0,10,2,0.26133818589025753,0.6332586786114222,4,6.661,11.455
18,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.18309070548712203,0.1114221724524076,0.2634938409854423,0.002799552071668533,0.13723404255319147,0.13445000000000001,0.13333333333333336,0.7786458333333333,0.31770833333333337,0.13195364875870813,0.7827485380116959,0.3178950456881332,,,,0.259,0.167,,,,0.4135416666666667,0.46354166666666663,,2.60684095916748,3.4045057373046874,0.22149532710280373,0.03271028037383177,,-1,,0,1,10,0,0.2311030235162374,0.704087346024636,4,4.185,11.281
20,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.1478163493840985,0.11534154535274355,0.2625979843225084,0.007838745800671893,0.12978723404255318,0.12684999999999996,0.13333333333333333,0.8125,0.3273809523809524,0.13403101804592593,0.8181286549707603,0.32948748573873576,,,,0.25770000000000004,0.136,,,,0.4125,0.44791666666666663,,2.6219104171752927,3.6251481018066407,0.21682242990654205,0.037383177570093455,,-1,,1,0,10,0,0.26511758118701007,0.7175251959686451,4,5.434,11.427
22,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.2122060470324748,0.11198208286674127,0.3493281075027995,0.0005599104143337066,0.06270996640537514,0.06515,0.060416666666666674,0.8151041666666667,0.27604166666666663,0.05878269434365493,0.8156432748538012,0.275028574489411,,,,0.33185,0.1895,,,,0.4989583333333334,0.47395833333333337,,2.4624875259399412,3.3148817443847656,0.18598130841121494,0.0,,-1,,0,1,10,3,0.25251959686450165,0.7912933930571109,4,4.234,11.353
24,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.21388577827547595,0.12541993281075026,0.3493281075027995,0.006159014557670772,0.06304591265397537,0.06555,0.06458333333333334,0.9973958333333334,0.3311011904761905,0.063391466406016,0.9972222222222222,0.33020025378207496,,,,0.33185,0.194,,,,0.5052083333333333,0.5598958333333333,,2.4624875259399412,3.5509185485839843,0.18598130841121494,0.028037383177570093,,-1,,0,1,10,0,0.3057110862262038,0.9916013437849944,4,4.198,11.222
