round,defense,bad_client_num,poison_rate,schedule,attack_active_this_round,tau,alpha,alpha_dirichlet,seed,variant,acc_global,acc_global_raw,acc_personalized,asr_global_targeted,asr_personalized_targeted,asr_unfiltered,asr_paper_benign,asr_paper_malicious,asr_paper_all,asr_paper_filtered_benign,asr_paper_filtered_malicious,asr_paper_filtered_all,asr_paper_frozen_benign,asr_paper_frozen_malicious,asr_paper_frozen_all,mta_personalized,mta_global,mta_personalized_shared,asr_paper_shared_benign,asr_paper_filtered_shared_benign,acc_local_personalized,acc_local_malicious,acc_local_personalized_shared,clean_loss_personalized,clean_loss_global,acc_target_class_personalized,acc_target_class_global,mask_keep_ratio,effective_trim_n,zero_sign_ratio,n_malicious_this_round,rounds_since_last_malicious,n_eval_clients,n_eval_clients_participated_this_round,acc_malicious_own,asr_malicious_own,n_eval_malicious,train_wall_s,eval_wall_s
10,fedavg,10,0.2,continuous,True,0.2,0.25,0.5,0,fedavg,0.09966405375139975,0.0,0.13029115341545353,0.0005599104143337066,0.10363941769316909,0.09999999999999999,0.1,0.18020833333333333,0.14010416666666664,0.10120567375886524,0.1669669271323268,0.13408630044559605,,,,0.12614999999999998,0.0895,,,,0.2104166666666667,0.359375,,2.6910813598632815,2.824482421875,0.09158878504672897,0.004672897196261682,,-1,,1,0,10,1,0.13247480403135498,0.175979843225084,10,3.208,19.683
20,fedavg,10,0.2,continuous,True,0.2,0.25,0.5,0,fedavg,0.09966405375139975,0.0,0.14361702127659576,0.0,0.13633818589025756,0.136,0.11979166666666667,0.20625,0.16302083333333334,0.11671954873964394,0.1905209119048267,0.15362023032223532,,,,0.146,0.089,,,,0.2489583333333333,0.4635416666666667,,3.0441184570312503,3.1492538146972655,0.16588785046728974,0.0,,-1,,1,0,10,0,0.19574468085106383,0.24076147816349383,10,2.804,19.328
30,fedavg,10,0.2,continuous,True,0.2,0.25,0.5,0,fedavg,0.09966405375139975,0.0,0.2064389697648376,0.0,0.04210526315789474,0.045200000000000004,0.025,0.5989583333333333,0.3119791666666667,0.02119047619047619,0.5800955045264146,0.3006429903584454,,,,0.19325,0.089,,,,0.3614583333333333,0.4510416666666667,,2.5326337387084967,3.092211669921875,0.08317757009345794,0.0,,-1,,0,1,10,0,0.20565509518477043,0.6161254199328108,10,1.547,19.459
40,fedavg,10,0.2,continuous,True,0.2,0.25,0.5,0,fedavg,0.41321388577827545,0.0,0.26752519596864505,0.770996640537514,0.04820828667413214,0.05815,0.06458333333333333,0.79375,0.4291666666666667,0.05089573450229188,0.786644609963412,0.41877017223285196,,,,0.25529999999999997,0.4415,,,,0.4708333333333334,0.42708333333333337,,2.4607064651489257,1.4914503631591798,0.15327102803738318,0.677570093457944,,-1,,2,0,10,1,0.23208286674132142,0.8030795072788355,10,3.723,19.445
50,fedavg,10,0.2,continuous,True,0.2,0.25,0.5,0,fedavg,0.4994400895856663,0.017357222844344933,0.3191489361702128,0.7821948488241881,0.18521836506159015,0.18460000000000001,0.20520833333333335,0.9677083333333334,0.5864583333333333,0.20473607266675214,0.9723553564762971,0.5885457145715246,,,,0.3057500000000001,0.5105,,,,0.5395833333333333,0.4729166666666667,,2.323641668701172,1.2938994903564454,0.19392523364485978,0.602803738317757,,-1,,2,0,10,1,0.3066629339305711,0.9711086226203808,10,4.999,19.164
60,fedavg,10,0.2,continuous,True,0.2,0.25,0.5,0,fedavg,0.5890257558790594,0.12486002239641658,0.36786114221724525,0.8852183650615901,0.3659574468085106,0.3468,0.3479166666666667,0.9708333333333334,0.659375,0.35203046753344,0.9739501462506557,0.6629903068920479,,,,0.3499,0.5715,,,,0.571875,0.5958333333333334,,2.0598033264160156,1.149938720703125,0.19999999999999998,0.4252336448598131,,-1,,0,1,10,1,0.34960806270996636,0.9635498320268757,10,1.841,19.033
70,fedavg,10,0.2,continuous,True,0.2,0.25,0.5,0,fedavg,0.593505039193729,0.027435610302351643,0.41819708846584547,0.8437849944008958,0.477043673012318,0.46010000000000006,0.415625,0.9885416666666667,0.7020833333333334,0.4171286724188784,0.992493765430947,0.7048112189249127,,,,0.40730000000000005,0.578,,,,0.6166666666666667,0.546875,,1.907546943664551,1.2239249877929688,0.3163551401869159,0.4485981308411215,,-1,,2,0,10,0,0.34972004479283314,0.982026875699888,10,3.843,18.861
80,fedavg,10,0.2,continuous,True,0.2,0.25,0.5,0,fedavg,0.6416573348264278,0.1629339305711086,0.43712206047032476,0.8790593505039194,0.5905935050391936,0.5620499999999999,0.4666666666666666,0.9708333333333334,0.71875,0.472819839619764,0.9752553575450038,0.7240375985823839,,,,0.42469999999999997,0.6145,,,,0.6083333333333333,0.5895833333333333,,1.8085092391967774,1.0707917098999022,0.32102803738317753,0.3878504672897196,,-1,,0,1,10,1,0.39064949608062716,0.9487122060470325,10,1.6,18.917
90,fedavg,10,0.2,continuous,True,0.2,0.25,0.5,0,fedavg,0.5195968645016797,0.11310190369540873,0.4543673012318029,0.9092945128779395,0.6256998880179171,0.5933,0.5510416666666667,0.9989583333333334,0.775,0.5621563233600347,0.9989473684210527,0.7805518458905437,,,,0.4326,0.5165,,,,0.603125,0.5635416666666667,,1.8355174102783203,1.4712158813476564,0.2509345794392523,0.49065420560747663,,-1,,2,0,10,0,0.42726763717805144,0.9954647256438971,10,3.972,18.823
100,fedavg,10,0.2,continuous,True,0.2,0.25,0.5,0,fedavg,0.6075027995520716,0.16685330347144456,0.483090705487122,0.9848824188129899,0.6892497200447929,0.65825,0.5729166666666667,0.9979166666666668,0.7854166666666667,0.5781880704857602,0.9989473684210527,0.7885677194534064,,,,0.46749999999999997,0.5865,,,,0.6177083333333334,0.5458333333333333,,1.7114809173583982,1.2453697204589844,0.33738317757009345,0.411214953271028,,-1,,1,0,10,1,0.44781634938409853,0.9965845464725644,10,3.084,18.649
110,fedavg,10,0.2,continuous,True,0.2,0.25,0.5,0,fedavg,0.6970884658454648,0.16629339305711088,0.49143337066069437,0.9759238521836506,0.7243561030235163,0.70365,0.5635416666666666,0.9729166666666667,0.7682291666666667,0.5602824891171724,0.9722729252208534,0.766277707169013,,,,0.48405000000000004,0.6695,,,,0.6322916666666667,0.5916666666666667,,1.6480798957824707,0.9496267166137695,0.4224299065420561,0.4392523364485981,,-1,,0,1,10,2,0.47200447928331474,0.9811870100783875,10,1.526,18.556
120,fedavg,10,0.2,continuous,True,0.2,0.25,0.5,0,fedavg,0.66013437849944,0.1606942889137738,0.46187010078387464,0.9109742441209406,0.6367301231802912,0.61825,0.5479166666666667,0.9958333333333333,0.771875,0.5428849539926678,0.9954336545589324,0.7691593042758003,,,,0.4523499999999999,0.614,,,,0.5781249999999999,0.6145833333333333,,1.8716105712890623,1.1733836135864257,0.3728971962616822,0.22897196261682243,,-1,,2,0,10,0,0.47099664053751394,0.9976483762597985,10,3.777,19.239
130,fedavg,10,0.2,continuous,True,0.2,0.25,0.5,0,fedavg,0.6136618141097425,0.15453527435610304,0.4886338185890257,0.9977603583426652,0.7384098544232922,0.7304999999999999,0.6270833333333334,0.9916666666666666,0.809375,0.6214773465564879,0.991307466708941,0.8063924066327145,,,,0.48805,0.636,,,,0.6125,0.6052083333333333,,1.6824226715087889,1.047337760925293,0.483177570093458,0.822429906542056,,-1,,0,1,10,2,0.4669092945128779,0.9969204927211648,10,1.67,18.578
140,fedavg,10,0.2,continuous,True,0.2,0.25,0.5,0,fedavg,0.7105263157894737,0.1578947368421053,0.45509518477043676,0.9944008958566629,0.7249720044792832,0.7118500000000001,0.5645833333333334,0.99375,0.7791666666666667,0.5613204086822399,0.9936842105263157,0.7775023096042778,,,,0.4553,0.6925,,,,0.5729166666666666,0.6135416666666668,,2.0439864486694335,0.9268956832885742,0.45700934579439256,0.5420560747663551,,-1,,2,0,10,1,0.4617581187010078,0.9985442329227323,10,3.97,18.925
150,fedavg,10,0.2,continuous,True,0.2,0.25,0.5,0,fedavg,0.6735722284434491,0.1685330347144457,0.5108062709966406,0.9927211646136618,0.7953527435610301,0.7741,0.6822916666666667,0.9854166666666666,0.8338541666666666,0.6848680869103381,0.9841151265259924,0.8344916067181654,,,,0.49804999999999994,0.666,,,,0.603125,0.5895833333333333,,1.6683429962158205,1.0048599853515625,0.391588785046729,0.602803738317757,,-1,,3,0,10,0,0.41847704367301236,0.9960246360582307,10,6.005,18.407
160,fedavg,10,0.2,continuous,True,0.2,0.25,0.5,0,fedavg,0.6651735722284434,0.15901455767077266,0.48348264277715564,1.0,0.636842105263158,0.6254000000000002,0.5489583333333332,0.9927083333333334,0.7708333333333334,0.5496754982638586,0.9917072545501153,0.770691376406987,,,,0.4771500000000001,0.682,,,,0.6364583333333333,0.5697916666666667,,2.002429940032959,0.9234834823608399,0.4242990654205608,0.822429906542056,,-1,,1,0,10,1,0.4111422172452408,0.9968645016797313,10,2.673,18.939
170,fedavg,10,0.2,continuous,True,0.2,0.25,0.5,0,fedavg,0.6679731243001119,0.15229563269876822,0.5179731243001119,1.0,0.6681970884658455,0.6618,0.5822916666666667,1.0,0.7911458333333334,0.5810852421933368,1.0,0.7905426210966684,,,,0.5107,0.6885,,,,0.6625,0.5552083333333334,,1.8189302757263186,0.9556685562133789,0.45,0.8598130841121495,,-1,,1,0,10,2,0.4558790593505039,0.9998320268756998,10,2.851,18.935
180,fedavg,10,0.2,continuous,True,0.2,0.25,0.5,0,fedavg,0.6349384098544233,0.1550951847704367,0.5780515117581186,0.9983202687569989,0.7521836506159014,0.7426,0.6458333333333333,1.0,0.8229166666666667,0.6390254764704733,1.0,0.8195127382352367,,,,0.57005,0.66,,,,0.7041666666666666,0.5593750000000001,,1.4792388511657717,1.1052638397216796,0.5032710280373831,0.8691588785046729,,-1,,0,2,10,2,0.4811310190369541,0.9999440089585667,10,2.084,18.957
190,fedavg,10,0.2,continuous,True,0.2,0.25,0.5,0,fedavg,0.5694288913773796,0.09182530795072785,0.5750839865621501,1.0,0.7679731243001119,0.76385,0.7052083333333333,0.9989583333333334,0.8520833333333334,0.7014314793925784,0.9989473684210527,0.8501894239068155,,,,0.5657000000000001,0.5835,,,,0.6281249999999999,0.6229166666666666,,1.5144650230407717,1.3921187438964844,0.4873831775700935,0.7009345794392523,,-1,,3,0,10,0,0.4875139977603585,0.9978163493840985,10,5.052,19.227
200,fedavg,10,0.2,continuous,True,0.2,0.25,0.5,0,fedavg,0.706047032474804,0.14109742441209405,0.5606942889137738,1.0,0.6142217245240762,0.61005,0.5614583333333333,0.9385416666666666,0.75,0.5577221624775899,0.939384098544233,0.7485531305109114,,,,0.54295,0.721,,,,0.6312499999999999,0.5197916666666667,,1.7149977508544922,0.8165920791625977,0.3948598130841121,0.8457943925233645,,-1,,0,1,10,2,0.41657334826427767,0.9071668533034714,10,2.128,19.41
210,fedavg,10,0.2,continuous,True,0.2,0.25,0.5,0,fedavg,0.7620380739081747,0.1528555431131019,0.536394176931691,1.0,0.7329787234042553,0.7279,0.6895833333333333,0.9989583333333334,0.8442708333333334,0.6892238790230263,0.9989247311827956,0.8440743051029109,,,,0.52715,0.7515,,,,0.65625,0.5854166666666667,,1.968774198913574,0.7767655410766602,0.45,0.6635514018691588,,-1,,0,1,10,0,0.4936730123180292,0.9969204927211648,10,1.844,18.99
220,fedavg,10,0.2,continuous,True,0.2,0.25,0.5,0,fedavg,0.7362821948488242,0.1629339305711086,0.5655095184770438,1.0,0.7629899216125421,0.7550999999999999,0.7447916666666667,0.9895833333333334,0.8671875,0.74391061608576,0.9935483870967742,0.868729501591267,,,,0.54965,0.7355,,,,0.6802083333333334,0.5614583333333334,,2.08212551651001,0.8525135574340821,0.41728971962616823,0.7289719626168224,,-1,,2,0,10,2,0.4314109742441209,0.9675811870100783,10,3.768,18.311
230,fedavg,10,0.2,continuous,True,0.2,0.25,0.5,0,fedavg,0.7407614781634939,0.13381858902575583,0.5897536394176932,1.0,0.732922732362822,0.7265499999999999,0.6572916666666668,0.996875,0.8270833333333332,0.6517242679659081,0.9967741935483871,0.8242492307571476,,,,0.57535,0.7255,,,,0.6822916666666666,0.6229166666666667,,2.0136872806549073,0.8487796096801757,0.45514018691588787,0.5981308411214953,,-1,,2,0,10,2,0.5250279955207168,0.9992161254199328,10,4.003,18.811
240,fedavg,10,0.2,continuous,True,0.2,0.25,0.5,0,fedavg,0.7530795072788354,0.12541993281075026,0.6003359462486001,1.0,0.776427771556551,0.7683,0.7125,0.99375,0.853125,0.7120311154666423,0.9935710243350311,0.8528010699008366,,,,0.589,0.74,,,,0.6729166666666666,0.6239583333333333,,1.679779207992554,0.8577017059326172,0.494392523364486,0.6308411214953271,,-1,,2,0,10,0,0.5346584546472565,0.9990481522956326,10,4.141,18.718
250,fedavg,10,0.2,continuous,True,0.2,0.25,0.5,0,fedavg,0.7290033594624861,0.12877939529675253,0.6180291153415454,1.0,0.8146136618141098,0.8040499999999999,0.746875,0.996875,0.871875,0.7446809161190684,0.996796830786644,0.8707388734528563,,,,0.60965,0.7465,,,,0.6802083333333334,0.5739583333333333,,1.5600106761932373,0.8136941909790039,0.5397196261682243,0.8925233644859814,,-1,,3,0,10,1,0.47911534154535274,0.9990481522956328,10,5.554,18.468
260,fedavg,10,0.2,continuous,True,0.2,0.25,0.5,0,fedavg,0.7312430011198208,0.1657334826427772,0.6459686450167974,1.0,0.896528555431131,0.88665,0.8385416666666667,1.0,0.9192708333333334,0.8366210304025165,1.0,0.9183105152012583,,,,0.6369,0.7375,,,,0.7333333333333333,0.5760416666666667,,1.3784356491088867,0.8785323715209961,0.561214953271028,0.7897196261682243,,-1,,0,1,10,2,0.48006718924972,0.9998880179171333,10,1.765,19.117
