round,defense,bad_client_num,poison_rate,schedule,attack_active_this_round,tau,alpha,alpha_dirichlet,seed,variant,acc_global,acc_global_raw,acc_personalized,asr_global_targeted,asr_personalized_targeted,asr_unfiltered,asr_paper_benign,asr_paper_malicious,asr_paper_all,asr_paper_filtered_benign,asr_paper_filtered_malicious,asr_paper_filtered_all,asr_paper_frozen_benign,asr_paper_frozen_malicious,asr_paper_frozen_all,mta_personalized,mta_global,mta_personalized_shared,asr_paper_shared_benign,asr_paper_filtered_shared_benign,acc_local_personalized,acc_local_malicious,acc_local_personalized_shared,clean_loss_personalized,clean_loss_global,acc_target_class_personalized,acc_target_class_global,mask_keep_ratio,effective_trim_n,zero_sign_ratio,n_malicious_this_round,rounds_since_last_malicious,n_eval_clients,n_eval_clients_participated_this_round,acc_malicious_own,asr_malicious_own,n_eval_malicious,train_wall_s,eval_wall_s
10,fedavg,10,0.2,continuous,True,0.2,0.25,0.5,0,fedavg,0.0621500559910414,0.07390817469204924,0.14972004479283316,0.0,0.13784994400895856,0.1376,0.13020833333333331,0.24583333333333335,0.18802083333333336,0.1271663504111322,0.2281898806985064,0.1776781155548193,,,,0.1523,0.0555,0.1331,0.03125,0.03074636306135357,0.309375,0.340625,0.34687500000000004,2.9912873184204103,2.389440017700195,0.1738317757009346,0.0,,-1,,1,0,10,1,0.1104703247480403,0.27625979843225085,10,2.657,25.691
20,fedavg,10,0.2,continuous,True,0.2,0.25,0.5,0,fedavg,0.03639417693169089,0.059910414333706585,0.16114221724524075,0.0,0.13393057110862264,0.1325,0.12083333333333332,0.315625,0.2182291666666667,0.11982032393344237,0.3056512108149429,0.2127357673741927,,,,0.16115000000000002,0.0325,0.15585,0.03229166666666667,0.0304725168756027,0.3333333333333333,0.35833333333333334,0.37395833333333334,3.209842240905762,2.4092069396972655,0.16121495327102806,0.0,,-1,,1,0,10,0,0.1410974244120941,0.332922732362822,10,2.252,25.741
30,fedavg,10,0.2,continuous,True,0.2,0.25,0.5,0,fedavg,0.07950727883538633,0.10470324748040316,0.20061590145576708,0.0,0.040257558790593506,0.043,0.02708333333333333,0.2947916666666667,0.1609375,0.022079293255763844,0.2777376153220133,0.1499084542888886,,,,0.18710000000000002,0.071,0.2125,0.053125,0.041753791049837334,0.4385416666666667,0.4479166666666667,0.4802083333333333,2.7450089080810547,2.4385448455810548,0.07429906542056074,0.0,,-1,,0,1,10,0,0.18784994400895857,0.2765957446808511,10,1.333,25.396
40,fedavg,10,0.2,continuous,True,0.2,0.25,0.5,0,fedavg,0.1035834266517357,0.0985442329227324,0.2238521836506159,0.0,0.09820828667413214,0.10314999999999999,0.10729166666666667,0.4635416666666668,0.2854166666666667,0.09484126984126984,0.44599950352029694,0.2704203866807834,,,,0.2171,0.0925,0.24335,0.10625,0.0894816990341287,0.4822916666666667,0.4260416666666666,0.521875,2.71852533416748,2.3773213958740236,0.16074766355140185,0.0,,-1,,2,0,10,1,0.17127659574468085,0.46248600223964165,10,3.239,25.873
50,fedavg,10,0.2,continuous,True,0.2,0.25,0.5,0,fedavg,0.09014557670772672,0.08342665173572228,0.2238521836506159,0.0,0.04440089585666293,0.052700000000000004,0.06458333333333334,0.7572916666666666,0.4109375,0.03723691562674614,0.7464223839080107,0.39182964976737844,,,,0.2153,0.0805,0.26195,0.1125,0.09518294323379069,0.4927083333333333,0.4458333333333334,0.5697916666666667,3.1442596725463865,2.387738571166992,0.14392523364485982,0.0,,-1,,2,0,10,1,0.20582306830907057,0.6935610302351624,10,3.48,25.76
60,fedavg,10,0.2,continuous,True,0.2,0.25,0.5,0,fedavg,0.09686450167973126,0.08454647256438974,0.26159014557670773,0.0005599104143337066,0.05291153415453528,0.0606,0.06979166666666667,0.9135416666666668,0.4916666666666667,0.05265863169088976,0.9122915643716631,0.4824750980312764,,,,0.25085,0.0865,0.25939999999999996,0.11354166666666665,0.09286521388216304,0.5031249999999999,0.4364583333333333,0.6,2.8461867950439457,2.4000304260253906,0.16121495327102803,0.0,,-1,,0,1,10,1,0.19932810750279956,0.9420492721164612,10,1.421,26.059
70,fedavg,10,0.2,continuous,True,0.2,0.25,0.5,0,fedavg,0.06718924972004481,0.06830907054871216,0.24053751399776035,0.006159014557670772,0.013157894736842105,0.014099999999999998,0.019791666666666666,0.9572916666666667,0.4885416666666666,0.007925385913223037,0.9599369281816601,0.48393115704744166,,,,0.21964999999999998,0.06,0.26735000000000003,0.096875,0.08334185848252344,0.4489583333333333,0.38020833333333337,0.5895833333333332,2.9995026916503904,2.418343048095703,0.04532710280373832,0.0,,-1,,2,0,10,0,0.16517357222844342,0.9651175811870101,10,3.23,25.787
80,fedavg,10,0.2,continuous,True,0.2,0.25,0.5,0,fedavg,0.05543113101903696,0.07950727883538633,0.2712765957446808,0.0,0.016405375139977606,0.0179,0.022916666666666665,0.8645833333333334,0.44375,0.009285714285714286,0.8732895073284161,0.44128761080706536,,,,0.24764999999999998,0.0495,0.29864999999999997,0.11875000000000002,0.10852459016393443,0.4802083333333333,0.5125,0.6020833333333333,2.9095042678833005,2.4120542755126952,0.05046728971962616,0.0,,-1,,0,1,10,1,0.242441209406495,0.8624300111982082,10,1.368,25.661
90,fedavg,10,0.2,continuous,True,0.2,0.25,0.5,0,fedavg,0.058790593505039235,0.0907054871220605,0.2933370660694289,0.0,0.04188129899216125,0.042,0.04791666666666668,0.9385416666666666,0.4932291666666667,0.05586753831314971,0.9448252236631387,0.5003463809881442,,,,0.26985000000000003,0.0525,0.32415,0.12395833333333335,0.12113090513566746,0.5197916666666667,0.428125,0.6187500000000001,2.76678586730957,2.42521923828125,0.07383177570093458,0.0,,-1,,2,0,10,0,0.2131019036954087,0.9408734602463606,10,3.137,26.24
100,fedavg,10,0.2,continuous,True,0.2,0.25,0.5,0,fedavg,0.06103023516237405,0.05655095184770442,0.2986562150055991,0.0,0.047312430011198205,0.050449999999999995,0.08125,0.9104166666666668,0.4958333333333333,0.06840258793511937,0.9177920153408525,0.493097301637986,,,,0.28040000000000004,0.0545,0.33655,0.12291666666666667,0.11786115007012624,0.5302083333333334,0.40625,0.6333333333333333,2.883467068481445,2.403647064208984,0.12803738317757007,0.0,,-1,,1,0,10,1,0.20901455767077265,0.9512877939529675,10,2.833,26.569
