round,defense,bad_client_num,poison_rate,schedule,attack_active_this_round,tau,alpha,alpha_dirichlet,seed,variant,acc_global,acc_global_raw,acc_personalized,asr_global_targeted,asr_personalized_targeted,asr_unfiltered,asr_paper_benign,asr_paper_malicious,asr_paper_all,asr_paper_filtered_benign,asr_paper_filtered_malicious,asr_paper_filtered_all,asr_paper_frozen_benign,asr_paper_frozen_malicious,asr_paper_frozen_all,mta_personalized,mta_global,clean_loss_personalized,clean_loss_global,acc_target_class_personalized,acc_target_class_global,mask_keep_ratio,effective_trim_n,zero_sign_ratio,n_malicious_this_round,rounds_since_last_malicious,n_eval_clients,n_eval_clients_participated_this_round,acc_malicious_own,asr_malicious_own,n_eval_malicious,train_wall_s,eval_wall_s
10,fedavg,10,0.2,continuous,True,0.2,0.25,0.5,0,fedavg,0.17021276595744683,0.12877939529675253,0.19742441209406497,0.0,0.10923852183650617,0.1066,0.11041666666666665,0.409375,0.2598958333333333,0.1093638779688497,0.41526637551778495,0.2623151267433173,,,,0.1928,0.152,3.0997409255981445,2.335492126464844,0.1542056074766355,0.0,,-1,,1,0,10,1,0.15106382978723404,0.4297312430011198,10,15.08,18.322
20,fedavg,10,0.2,continuous,True,0.2,0.25,0.5,0,fedavg,0.16349384098544228,0.11702127659574468,0.19400895856662934,0.0,0.11825307950727884,0.1177,0.1125,0.7260416666666666,0.4192708333333333,0.10990948918169482,0.7380213545760993,0.4239654218788971,,,,0.1917,0.146,3.2637121307373045,2.355540985107422,0.1724299065420561,0.0,,-1,,1,0,10,0,0.1813549832026876,0.6996640537513997,10,15.643,17.624
30,fedavg,10,0.2,continuous,True,0.2,0.25,0.5,0,fedavg,0.1427771556550952,0.11030235162374025,0.25576707726763714,0.0,0.03398656215005599,0.042050000000000004,0.029166666666666664,0.875,0.4520833333333333,0.02137561823168007,0.8777915949218734,0.4495836065767767,,,,0.25025,0.1275,3.175917260742187,2.3849236450195312,0.2042056074766355,0.0,,-1,,0,1,10,0,0.26937290033594624,0.8916013437849944,10,12.992,17.581
40,fedavg,10,0.2,continuous,True,0.2,0.25,0.5,0,fedavg,0.13045912653975367,0.10806270996640532,0.2945128779395297,0.0,0.05890257558790594,0.06935,0.07604166666666667,0.9,0.4880208333333333,0.04604710701484895,0.9008033927423018,0.47342524987857537,,,,0.2863,0.1165,3.084287487792969,2.3478899383544922,0.2177570093457944,0.0,,-1,,2,0,10,1,0.2503919372900336,0.8933370660694289,10,19.377,17.416
50,fedavg,10,0.2,continuous,True,0.2,0.25,0.5,0,fedavg,0.13381858902575583,0.13437849944008962,0.31998880179171335,0.0,0.03773796192609183,0.048549999999999996,0.060416666666666674,0.9989583333333334,0.5296875,0.022687558067064708,0.9989473684210527,0.5108174632440587,,,,0.30865,0.1195,3.0815348770141604,2.34751123046875,0.21401869158878503,0.0,,-1,,2,0,10,1,0.2617581187010078,0.9981522956326987,10,20.847,17.282
60,fedavg,10,0.2,continuous,True,0.2,0.25,0.5,0,fedavg,0.13101903695408734,0.11198208286674127,0.33236282194848826,0.0,0.02989921612541993,0.0417,0.05729166666666667,0.965625,0.5114583333333333,0.012708721853181882,0.9662573099415205,0.4894830158973512,,,,0.33114999999999994,0.117,3.079289808654785,2.350664596557617,0.32102803738317753,0.0,,-1,,0,1,10,1,0.30778275475923855,0.9830347144456887,10,12.635,17.732
70,fedavg,10,0.2,continuous,True,0.2,0.25,0.5,0,fedavg,0.1220604703247481,0.1293393057110862,0.35011198208286676,0.0,0.02637178051511758,0.03525,0.042708333333333334,0.9635416666666667,0.503125,0.010752688172043012,0.9655506136232601,0.48815165089765156,,,,0.3368,0.109,3.292917269897461,2.3402251739501954,0.22570093457943924,0.0,,-1,,2,0,10,0,0.25671892497200455,0.9823628219484883,10,19.947,17.606
80,fedavg,10,0.2,continuous,True,0.2,0.25,0.5,0,fedavg,0.11590145576707722,0.1220604703247481,0.3711086226203807,0.0,0.04350503919372901,0.05375,0.051041666666666666,0.9979166666666668,0.5244791666666667,0.02214285714285714,0.9975187969924812,0.5098308270676692,,,,0.35595,0.1035,2.9610573181152344,2.344003936767578,0.22943925233644857,0.0,,-1,,0,1,10,1,0.3260918253079507,0.9986562150055992,10,12.284,17.159
90,fedavg,10,0.2,continuous,True,0.2,0.25,0.5,0,fedavg,0.15229563269876822,0.11310190369540873,0.36388577827547597,0.0,0.09792833146696528,0.10884999999999997,0.10520833333333332,0.9989583333333334,0.5520833333333333,0.08638312942474898,0.9989473684210527,0.5426652489229008,,,,0.35505,0.136,3.1056015350341797,2.332069610595703,0.2813084112149532,0.0,,-1,,2,0,10,0,0.3278835386338185,0.9966965285554312,10,19.927,17.968
100,fedavg,10,0.2,continuous,True,0.2,0.25,0.5,0,fedavg,0.1142217245240762,0.10582306830907051,0.3695968645016797,0.0,0.032474804031354984,0.04325,0.05,0.9958333333333333,0.5229166666666667,0.013615088554747384,0.9957083569137899,0.5046617227342687,,,,0.35464999999999997,0.102,3.230329154968262,2.347916748046875,0.22990654205607478,0.0,,-1,,1,0,10,1,0.3539753639417693,0.9989921612541993,10,15.763,17.622
110,fedavg,10,0.2,continuous,True,0.2,0.25,0.5,0,fedavg,0.12597984322508393,0.11254199328107506,0.37760358342665173,0.0,0.061814109742441205,0.07164999999999999,0.075,1.0,0.5375,0.046268811170432286,1.0,0.5231344055852161,,,,0.36960000000000004,0.1125,3.2398256134033203,2.3489767303466795,0.302803738317757,0.0,,-1,,0,1,10,2,0.3403695408734603,0.998488241881299,10,12.761,17.557
120,fedavg,10,0.2,continuous,True,0.2,0.25,0.5,0,fedavg,0.1371780515117581,0.11030235162374025,0.37816349384098535,0.0,0.05391937290033596,0.0641,0.07395833333333333,0.9822916666666666,0.528125,0.045051841234493455,0.9884210526315791,0.5167364469330362,,,,0.3684,0.1225,3.3504747940063475,2.3496284332275392,0.2869158878504673,0.0,,-1,,2,0,10,0,0.2755879059350504,0.9696528555431131,10,18.502,17.264
130,fedavg,10,0.2,continuous,True,0.2,0.25,0.5,0,fedavg,0.1243001119820829,0.11534154535274355,0.4107502799552071,0.0,0.026763717805151178,0.03625,0.04375,0.9729166666666667,0.5083333333333333,0.017823254833316173,0.9792976254157267,0.49856044012452144,,,,0.39554999999999996,0.111,3.146459385681152,2.3458299407958982,0.26869158878504673,0.0,,-1,,0,1,10,2,0.266013437849944,0.9667413213885778,10,12.912,17.297
140,fedavg,10,0.2,continuous,True,0.2,0.25,0.5,0,fedavg,0.1321388577827548,0.11030235162374025,0.4314669652855544,0.0,0.03930571108622621,0.04785,0.05625,0.9697916666666668,0.5130208333333334,0.02289405684754522,0.9690474935774983,0.4959707752125217,,,,0.41659999999999997,0.118,3.017130638122558,2.353251495361328,0.2925233644859813,0.0,,-1,,2,0,10,1,0.3145576707726764,0.990649496080627,10,19.51,17.486
150,fedavg,10,0.2,continuous,True,0.2,0.25,0.5,0,fedavg,0.16349384098544228,0.12150055991041431,0.43051511758118705,0.0,0.043561030235162376,0.0521,0.05,0.9395833333333334,0.49479166666666663,0.015808023044012368,0.9485353006227809,0.48217166183339666,,,,0.41204999999999997,0.146,3.0136439407348634,2.3463806762695314,0.25794392523364484,0.0,,-1,,3,0,10,0,0.30834266517357223,0.9627659574468087,10,22.135,17.504
160,fedavg,10,0.2,continuous,True,0.2,0.25,0.5,0,fedavg,0.1371780515117581,0.12038073908174696,0.45632698768197083,0.0,0.03868980963045913,0.0502,0.08541666666666667,0.9375,0.5114583333333333,0.05040172221581517,0.9459335038363171,0.4981676130260661,,,,0.44115000000000004,0.1225,2.8270307586669925,2.352832992553711,0.3144859813084112,0.0,,-1,,1,0,10,1,0.32569988801791716,0.9269316909294514,10,15.761,17.48
170,fedavg,10,0.2,continuous,True,0.2,0.25,0.5,0,fedavg,0.11702127659574468,0.10582306830907051,0.4480963045912654,0.0,0.06035834266517357,0.07594999999999999,0.08854166666666666,0.9927083333333332,0.540625,0.06574064303621693,0.9968197088465847,0.5312801759414008,,,,0.43534999999999996,0.1045,2.9422010162353516,2.3501851959228515,0.3289719626168224,0.0,,-1,,1,0,10,2,0.36455767077267637,0.9978163493840986,10,15.728,18.006
180,fedavg,10,0.2,continuous,True,0.2,0.25,0.5,0,fedavg,0.1606942889137738,0.1063829787234043,0.4431131019036953,0.0,0.064501679731243,0.08155,0.09895833333333334,0.990625,0.5447916666666666,0.07239309878688142,0.9935483870967742,0.5329707429418278,,,,0.4356,0.1435,3.002055334472656,2.3516420288085937,0.3728971962616823,0.0,,-1,,0,2,10,2,0.3806270996640538,0.9944008958566629,10,13.421,17.442
190,fedavg,10,0.2,continuous,True,0.2,0.25,0.5,0,fedavg,0.11814109742441214,0.10694288913773797,0.4821388577827547,0.0,0.06254199328107503,0.07759999999999999,0.0875,0.996875,0.5421875,0.05520143722742106,0.9968421052631579,0.5260217712452895,,,,0.46785,0.1055,2.581750939941406,2.3581752471923827,0.3485981308411215,0.0,,-1,,3,0,10,0,0.4427211646136618,0.9997760358342666,10,21.633,17.392
200,fedavg,10,0.2,continuous,True,0.2,0.25,0.5,0,fedavg,0.12374020156774912,0.10918253079507279,0.47558790593505035,0.0,0.06052631578947367,0.07485,0.08854166666666666,0.9989583333333334,0.54375,0.0570217880143016,0.9989010989010989,0.5279614434577002,,,,0.4664499999999999,0.1105,2.702468597412109,2.362951187133789,0.3901869158878504,0.0,,-1,,0,1,10,2,0.42704367301231805,0.9998880179171333,10,12.149,17.454
210,fedavg,10,0.2,continuous,True,0.2,0.25,0.5,0,fedavg,0.10918253079507279,0.10526315789473684,0.4977603583426652,0.0,0.07110862262038074,0.0856,0.10104166666666667,0.909375,0.5052083333333334,0.08183860875798565,0.9096774193548388,0.49575801405641223,,,,0.48385,0.0975,2.4996420318603514,2.373129638671875,0.3677570093457944,0.0,,-1,,0,1,10,0,0.3919372900335946,0.9027995520716685,10,12.05,16.693
220,fedavg,10,0.2,continuous,True,0.2,0.25,0.5,0,fedavg,0.12541993281075026,0.11310190369540873,0.4940649496080627,0.0,0.07743561030235162,0.09215,0.11354166666666668,0.9979166666666668,0.5557291666666667,0.09245451480266331,0.9976840696117805,0.5450692922072219,,,,0.48055000000000003,0.112,2.5671017715454103,2.359569641113281,0.3677570093457944,0.0,,-1,,2,0,10,2,0.43712206047032476,0.9996080627099664,10,19.019,17.244
230,fedavg,10,0.2,continuous,True,0.2,0.25,0.5,0,fedavg,0.12262038073908177,0.11590145576707722,0.4954087346024637,0.0,0.09384098544232923,0.10945,0.10625,0.9947916666666667,0.5505208333333333,0.08072641516189905,0.9955555555555555,0.5381409853587272,,,,0.48290000000000005,0.1095,2.588056706237793,2.3659066009521483,0.37850467289719625,0.0,,-1,,2,0,10,2,0.4434490481522957,0.9865061590145576,10,18.727,17.02
