alpha,seed,group,metric,cv,mean,std,n_clients,n_valid,ng_vs_real
0.05,0,delta_only,overlap,0.03661771576684109,0.09318100005388255,0.003412075374843076,100,100,0.02493391764014296
0.05,0,delta_plus_xi,overlap,0.34584171477518827,0.16222949914634224,0.05610572817189094,100,100,0.33415791664849015
0.05,0,random_noise,overlap,0.026274619989649143,0.08738599866628644,0.002296033907372663,100,100,0.01459082186295101
0.05,0,real,overlap,0.011683798126698133,0.714854986667633,0.00835222135408811,100,100,0.0
0.1,0,delta_only,overlap,0.0335019330994096,0.09357100106775756,0.003134809417816798,100,100,0.023905841578695644
0.1,0,delta_plus_xi,overlap,0.28674084869082905,0.15878799639642238,0.04553100484862646,100,100,0.2771447571701151
0.1,0,random_noise,overlap,0.036417699012273,0.0919855014234781,0.003349900304333235,100,100,0.02682160749155904
0.1,0,real,overlap,0.009596091520713957,0.7627624940872192,0.007319538701828995,100,100,0.0
0.5,0,delta_only,overlap,0.027108010419714734,0.08395200014114376,0.002275771694582018,100,100,0.023523477314806834
0.5,0,delta_plus_xi,overlap,0.07440241119271758,0.15840299993753434,0.011785565135512446,100,100,0.07081787808780968
0.5,0,random_noise,overlap,0.027285788976162538,0.0732110001146793,0.001997619899862951,100,100,0.02370125587125464
0.5,0,real,overlap,0.0035845331049079,0.8174637323617935,0.00293022581071242,100,100,0.0
1.0,0,delta_only,overlap,0.015724039965087564,0.06884750068187709,0.0010825608522182287,100,100,0.012489058531117266
1.0,0,delta_plus_xi,overlap,0.049299531651510235,0.1439554977416992,0.007096938617325809,100,100,0.04606455021753993
1.0,0,random_noise,overlap,0.01578158708108581,0.06688900046050544,0.0010556145855342555,100,100,0.012546605647115513
1.0,0,real,overlap,0.0032349814339702994,0.815262491106987,0.0026373590225434794,100,100,0.0
