alpha,seed,signal,auc,auc_raw,direction,direction_declared,n_clients,n_malicious
0.05,0,A_observable,0.2590909090909091,0.2590909090909091,1,True,100,10
0.05,0,l2_to_median,0.7288888888888889,0.7288888888888889,1,True,100,10
0.05,0,sign_consistency,0.6622222222222223,0.3377777777777778,-1,True,100,10
0.1,0,A_observable,0.8258426966292135,0.8258426966292135,1,True,100,10
0.1,0,l2_to_median,0.8922222222222222,0.8922222222222222,1,True,100,10
0.1,0,sign_consistency,0.7011111111111111,0.29888888888888887,-1,True,100,10
0.5,0,A_observable,0.6955555555555556,0.6955555555555556,1,True,100,10
0.5,0,l2_to_median,1.0,1.0,1,True,100,10
0.5,0,sign_consistency,0.6877777777777778,0.31222222222222223,-1,True,100,10
1.0,0,A_observable,0.6066666666666667,0.6066666666666667,1,True,100,10
1.0,0,l2_to_median,1.0,1.0,1,True,100,10
1.0,0,sign_consistency,0.62,0.38,-1,True,100,10
