alpha,seed,signal,auc,n_clients,n_malicious
0.05,0,A_observable,0.2590909090909091,100,10
0.05,0,l2_to_median,0.7288888888888889,100,10
0.05,0,sign_consistency,0.3377777777777778,100,10
0.1,0,A_observable,0.8258426966292135,100,10
0.1,0,l2_to_median,0.8922222222222222,100,10
0.1,0,sign_consistency,0.29888888888888887,100,10
0.5,0,A_observable,0.6955555555555556,100,10
0.5,0,l2_to_median,1.0,100,10
0.5,0,sign_consistency,0.31222222222222223,100,10
1.0,0,A_observable,0.6066666666666667,100,10
1.0,0,l2_to_median,1.0,100,10
1.0,0,sign_consistency,0.38,100,10
